video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-01 15 1 1 0 0 122 52 42 3 7
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-02 18 5 4 0 1 118 38 25 3 10
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-03 21 6 4 0 2 137 33 22 2 9
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-04 28 12 8 1 3 136 46 35 1 10
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-05 6 1 1 0 0 137 40 23 4 13
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-06 20 4 4 0 0 167 56 37 2 17
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-07 21 5 4 0 1 146 44 24 4 16
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-08 14 4 3 0 1 141 38 23 1 14
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-09 19 4 4 0 0 159 51 31 2 18
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-10 27 6 3 0 3 159 46 24 3 19
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-11 16 2 1 0 1 141 36 21 3 12
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-12 23 4 2 0 2 172 63 38 2 23
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-13 17 4 1 1 2 194 41 32 4 5
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-14 15 6 4 0 2 151 48 34 6 8
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-15 20 1 1 0 0 173 40 27 3 10
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-16 21 3 2 0 1 160 42 31 3 8
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-17 30 16 12 1 3 149 47 37 1 9
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-18 21 9 6 1 2 150 58 33 4 21
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-19 19 6 4 1 1 142 43 29 3 11
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-20 13 6 4 1 1 145 46 29 5 12
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-21 21 4 2 0 2 129 45 33 2 10
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-22 19 13 12 1 0 174 62 38 8 16
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-23 19 2 1 0 1 152 38 23 0 15
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-24 26 4 1 0 3 136 42 23 5 14
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-25 17 9 6 0 3 113 32 15 6 11
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-26 21 12 6 2 4 125 49 33 5 11
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-27 32 10 6 1 3 156 37 24 3 10
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-28 27 12 7 0 5 161 63 39 6 18
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-29 21 3 3 0 0 147 34 19 5 10
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-06-30 19 7 5 0 2 161 47 29 1 17
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-07-01 35 9 6 0 3 135 44 29 2 13
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-07-02 26 12 11 0 1 115 29 20 4 5
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-07-03 20 8 7 1 0 177 62 35 12 15
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-07-04 25 11 6 0 5 161 39 27 6 6
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-07-05 29 12 4 3 5 122 33 20 4 9
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-07-06 17 6 4 0 2 138 39 27 4 8
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-07-07 19 5 5 0 0 126 38 17 6 15
PL0I4bTGBHIMc5SVj5GS2XgaxzVWKCfXc_ 2015-07-08 8 3 2 1 0 142 46 29 6 11
