video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-01 12 3 3 0 0 610 193 132 11 50
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-02 3 0 0 0 0 558 161 116 12 33
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-03 3 0 0 0 0 634 176 140 6 30
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-04 7 3 3 0 0 626 156 109 14 33
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-05 8 3 2 0 1 712 194 132 8 54
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-06 15 2 2 0 0 624 190 132 14 44
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-07 7 4 3 0 1 642 192 148 8 36
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-08 1 0 0 0 0 632 166 130 11 25
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-09 8 2 2 0 0 715 225 169 7 49
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-10 12 1 1 0 0 695 225 141 15 69
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-11 7 2 2 0 0 680 200 141 18 41
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-12 1 1 1 0 0 637 187 133 11 43
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-13 13 4 2 0 2 737 205 158 13 34
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-14 7 3 3 0 0 626 168 139 9 20
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-15 9 1 1 0 0 597 159 122 6 31
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-16 4 0 0 0 0 650 178 123 15 40
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-17 14 1 1 0 0 702 206 149 12 45
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-18 8 7 7 0 0 737 211 132 21 58
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-19 13 2 1 1 0 851 229 165 13 51
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-20 7 1 1 0 0 861 267 181 23 63
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-21 6 0 0 0 0 956 325 224 19 82
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-22 10 0 0 0 0 799 278 206 19 53
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-23 6 2 2 0 0 723 227 172 12 43
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-24 11 0 0 0 0 782 218 145 9 64
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-25 18 12 3 0 9 779 245 194 16 35
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-26 5 1 1 0 0 710 243 163 27 53
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-27 9 2 1 0 1 655 183 129 14 40
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-28 5 1 0 1 0 783 251 191 9 51
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-29 8 1 1 0 0 729 199 134 11 54
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-06-30 12 1 0 1 0 705 192 146 9 37
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-01 13 5 4 0 1 806 215 147 20 48
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-02 9 3 3 0 0 757 215 150 21 44
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-03 8 2 2 0 0 748 236 148 18 70
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-04 9 1 1 0 0 759 210 145 13 52
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-05 9 3 2 0 1 841 249 166 22 61
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-06 6 3 2 0 1 912 210 156 17 37
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-07 7 3 3 0 0 728 204 146 21 37
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-08 2 0 0 0 0 717 221 147 20 54
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-09 7 3 1 2 0 610 148 110 14 24
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-10 7 3 3 0 0 751 210 154 19 37
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-11 10 4 2 0 2 788 225 157 18 50
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-12 8 3 3 0 0 819 234 169 17 48
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-13 15 2 2 0 0 756 228 167 19 42
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-14 13 0 0 0 0 758 247 163 23 61
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-15 10 2 2 0 0 783 230 167 15 48
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-16 7 1 1 0 0 637 180 130 9 41
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-17 9 3 2 0 1 579 169 119 12 38
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-18 6 3 3 0 0 654 182 135 13 34
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-19 9 2 1 1 0 664 210 160 8 42
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-20 6 4 1 1 2 724 232 159 16 57
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-21 11 6 6 0 0 662 199 146 14 39
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-22 12 7 6 0 1 670 203 149 21 33
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-23 8 0 0 0 0 663 218 145 17 56
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-24 6 1 0 1 0 650 189 139 11 39
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-25 5 2 0 0 2 685 205 157 15 33
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-26 8 4 3 0 1 731 253 195 10 48
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-27 14 4 2 0 2 789 230 179 11 40
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-28 3 0 0 0 0 733 235 177 15 43
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-29 26 2 2 0 0 651 194 150 13 31
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-30 20 8 4 0 4 630 190 138 15 37
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-07-31 12 2 2 0 0 624 164 132 10 22
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-01 6 0 0 0 0 711 207 141 10 56
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-02 13 5 5 0 0 709 245 198 13 34
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-03 16 3 2 0 1 771 230 173 10 47
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-04 10 1 1 0 0 753 213 160 9 44
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-05 22 5 5 0 0 745 247 183 11 53
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-06 11 6 4 0 2 681 191 144 12 35
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-07 9 3 1 0 2 631 166 121 11 34
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-08 8 4 1 0 3 702 184 135 10 39
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-09 2 0 0 0 0 773 266 209 15 42
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-10 6 2 2 0 0 692 228 179 11 38
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-11 15 3 1 0 2 698 216 162 10 44
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-12 13 2 0 0 2 672 196 152 9 35
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-13 14 4 4 0 0 689 224 160 15 49
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-14 9 5 3 1 1 698 226 163 11 52
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-15 12 3 3 0 0 726 204 155 13 36
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-16 9 1 1 0 0 773 221 168 15 38
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-17 6 2 1 0 1 739 246 195 13 38
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-18 12 5 3 1 1 730 212 159 10 43
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-19 12 2 2 0 0 742 214 150 8 56
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-20 13 3 1 1 1 699 212 145 20 47
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-21 10 3 3 0 0 731 237 180 13 44
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-22 10 3 3 0 0 640 176 139 9 28
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-23 12 2 1 1 0 696 197 142 12 43
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-24 12 3 1 1 1 744 204 152 14 38
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-25 8 2 1 0 1 774 217 178 5 34
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-26 9 4 4 0 0 766 221 164 10 47
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-27 17 7 6 0 1 702 190 142 11 37
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-28 19 6 6 0 0 754 211 139 23 49
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-29 14 4 3 0 1 715 203 147 6 50
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-30 17 10 9 0 1 711 195 136 11 48
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-08-31 15 3 2 0 1 763 216 158 18 40
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-01 9 4 2 1 1 642 170 126 10 34
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-02 6 2 1 1 0 724 184 131 13 40
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-03 13 5 4 0 1 737 207 168 6 33
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-04 10 3 3 0 0 775 219 151 15 53
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-05 16 7 7 0 0 714 204 134 14 56
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-06 6 2 2 0 0 773 233 153 10 70
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-07 11 6 4 0 2 714 207 137 13 57
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-08 5 5 5 0 0 706 221 169 9 43
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-09 4 1 1 0 0 715 213 140 12 61
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-10 8 2 2 0 0 613 165 116 8 41
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-11 14 4 4 0 0 687 196 147 15 34
PL0I4bTGBHIMcPHshgLwpRNoLH-8mSX7Z1 2015-09-12 18 7 4 0 3 724 205 156 15 34
