video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-01 0 0 0 0 0 27 13 8 1 4
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-02 3 0 0 0 0 31 9 6 0 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-03 0 0 0 0 0 32 10 10 0 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-04 0 0 0 0 0 16 2 2 0 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-05 1 0 0 0 0 16 2 2 0 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-06 0 0 0 0 0 29 2 1 0 1
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-07 2 0 0 0 0 16 7 2 2 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-08 0 0 0 0 0 15 4 3 0 1
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-09 1 1 0 0 1 19 6 4 0 2
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-10 0 0 0 0 0 25 9 3 0 6
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-11 0 0 0 0 0 17 8 7 0 1
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-12 0 0 0 0 0 13 6 4 0 2
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-13 0 0 0 0 0 18 2 1 0 1
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-14 0 0 0 0 0 17 8 2 1 5
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-15 0 0 0 0 0 24 8 7 0 1
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-16 1 1 1 0 0 37 13 9 0 4
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-17 0 0 0 0 0 22 8 1 1 6
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-18 0 0 0 0 0 28 9 6 2 1
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-19 1 0 0 0 0 27 10 7 0 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-20 1 0 0 0 0 32 9 5 3 1
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-21 4 0 0 0 0 31 11 7 2 2
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-22 0 0 0 0 0 26 12 8 0 4
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-23 1 0 0 0 0 26 7 3 1 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-24 1 0 0 0 0 21 11 7 0 4
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-25 3 3 0 3 0 20 8 3 0 5
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-26 6 2 2 0 0 31 13 9 2 2
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-27 3 3 2 0 1 30 8 3 0 5
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-28 1 0 0 0 0 22 5 2 0 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-29 0 0 0 0 0 33 17 13 1 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-06-30 1 0 0 0 0 20 7 5 0 2
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-01 2 1 1 0 0 16 8 3 1 4
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-02 1 0 0 0 0 19 7 6 1 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-03 1 1 1 0 0 13 6 2 1 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-04 0 0 0 0 0 18 5 1 0 4
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-05 0 0 0 0 0 20 9 5 2 2
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-06 0 0 0 0 0 31 6 4 2 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-07 3 0 0 0 0 16 3 1 2 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-08 7 0 0 0 0 34 14 9 2 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-09 1 0 0 0 0 21 8 5 1 2
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-10 1 1 0 0 1 19 5 5 0 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-11 2 1 1 0 0 20 6 6 0 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-12 1 0 0 0 0 13 2 2 0 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-13 2 0 0 0 0 41 22 15 2 5
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-14 1 0 0 0 0 25 10 6 1 3
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-15 1 0 0 0 0 40 8 8 0 0
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-16 0 0 0 0 0 26 9 5 3 1
PL0I4bTGBHIMdNkDFO61NF6OjCL_Gld6Va 2015-07-17 4 3 3 0 0 24 12 6 1 5
