video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-01 2 1 1 0 0 21 6 4 0 2
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-02 4 0 0 0 0 20 6 6 0 0
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-03 9 3 1 1 1 19 3 3 0 0
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-04 1 1 1 0 0 16 5 4 0 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-05 7 1 0 0 1 14 6 4 0 2
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-06 0 0 0 0 0 22 9 6 0 3
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-07 0 0 0 0 0 16 11 6 0 5
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-08 0 0 0 0 0 23 7 3 0 4
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-09 0 0 0 0 0 36 14 10 0 4
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-10 1 0 0 0 0 21 6 2 1 3
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-11 0 0 0 0 0 28 15 10 2 3
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-12 0 0 0 0 0 32 8 6 0 2
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-13 2 1 1 0 0 34 12 7 0 5
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-14 1 0 0 0 0 20 12 10 0 2
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-15 2 0 0 0 0 11 1 0 0 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-16 0 0 0 0 0 10 6 5 0 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-17 1 0 0 0 0 10 4 3 0 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-18 0 0 0 0 0 7 5 3 1 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-19 2 0 0 0 0 15 8 3 3 2
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-20 2 1 1 0 0 13 6 3 3 0
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-21 4 1 1 0 0 10 7 5 1 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-22 5 1 1 0 0 7 2 1 0 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-23 1 0 0 0 0 6 2 1 0 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-24 3 2 1 0 1 14 4 2 0 2
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-25 4 1 0 1 0 10 4 3 0 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-26 5 2 2 0 0 22 6 2 0 4
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-27 4 4 3 0 1 26 7 2 1 4
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-28 1 0 0 0 0 15 5 3 2 0
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-29 4 0 0 0 0 14 4 1 0 3
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-06-30 1 0 0 0 0 18 5 4 0 1
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-07-01 4 2 2 0 0 12 5 3 0 2
PL0I4bTGBHIMeAgZoMlCEKD5TzKWOEYAdJ 2015-07-02 8 1 1 0 0 9 5 3 0 2
