video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-01 3 1 1 0 0 32 6 2 2 2
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-02 6 4 3 0 1 21 7 4 0 3
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-03 3 2 2 0 0 28 6 3 0 3
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-04 2 1 0 0 1 15 10 6 3 1
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-05 6 2 2 0 0 11 5 5 0 0
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-06 5 1 0 0 1 17 2 1 1 0
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-07 8 3 2 1 0 14 7 4 0 3
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-08 6 4 3 0 1 23 12 9 1 2
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-09 2 0 0 0 0 28 11 8 1 2
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-10 0 0 0 0 0 22 11 4 2 5
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-11 4 1 1 0 0 23 10 7 0 3
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-12 3 0 0 0 0 30 15 6 1 8
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-13 2 0 0 0 0 54 21 11 5 5
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-14 5 3 2 0 1 34 11 7 0 4
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-15 5 2 1 0 1 28 6 3 1 2
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-16 3 0 0 0 0 27 14 11 3 0
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-17 1 0 0 0 0 29 15 9 3 3
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-18 4 1 1 0 0 29 8 7 0 1
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-19 10 4 3 1 0 34 11 9 1 1
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-20 3 1 1 0 0 70 30 19 8 3
PL0I4bTGBHIMeCcbUq1jit5wKFmU0BOGhh 2015-06-21 12 9 6 0 3 42 22 14 1 7
