video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-01 14 2 2 0 0 23 3 2 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-02 2 0 0 0 0 18 0 0 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-03 2 0 0 0 0 30 4 2 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-04 3 1 1 0 0 27 6 5 1 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-05 1 0 0 0 0 28 2 0 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-06 2 0 0 0 0 15 3 1 1 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-07 2 2 2 0 0 33 5 4 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-08 2 2 2 0 0 22 3 0 0 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-09 0 0 0 0 0 26 3 0 0 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-10 0 0 0 0 0 26 4 2 1 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-11 2 2 2 0 0 9 4 2 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-12 4 0 0 0 0 18 3 1 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-13 9 0 0 0 0 19 1 0 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-14 1 0 0 0 0 27 3 3 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-15 6 0 0 0 0 34 3 2 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-16 4 4 4 0 0 27 2 0 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-17 4 1 1 0 0 29 3 0 0 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-18 2 1 0 0 1 29 8 6 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-19 5 0 0 0 0 16 0 0 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-20 6 3 3 0 0 18 5 4 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-21 5 1 1 0 0 23 2 0 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-22 6 5 5 0 0 22 1 1 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-23 4 0 0 0 0 21 4 1 1 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-24 1 1 1 0 0 8 1 1 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-25 7 0 0 0 0 36 7 4 0 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-26 0 0 0 0 0 21 3 2 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-27 7 3 2 0 1 8 0 0 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-28 11 8 8 0 0 29 3 2 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-29 2 1 1 0 0 8 4 0 1 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-06-30 4 2 2 0 0 18 6 3 0 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-01 4 0 0 0 0 17 3 1 1 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-02 1 0 0 0 0 7 0 0 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-03 1 0 0 0 0 16 0 0 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-04 4 3 3 0 0 21 6 2 0 4
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-05 1 0 0 0 0 20 1 0 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-06 9 2 2 0 0 17 4 2 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-07 2 0 0 0 0 22 1 0 1 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-08 0 0 0 0 0 29 6 1 0 5
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-09 0 0 0 0 0 24 3 2 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-10 3 0 0 0 0 20 3 1 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-11 2 0 0 0 0 27 8 3 1 4
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-12 0 0 0 0 0 20 4 3 1 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-13 6 1 0 0 1 19 0 0 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-14 0 0 0 0 0 20 1 0 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-15 0 0 0 0 0 19 2 1 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-16 2 0 0 0 0 17 2 0 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-17 2 2 2 0 0 8 0 0 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-18 3 0 0 0 0 30 4 2 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-19 0 0 0 0 0 25 1 0 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-20 0 0 0 0 0 10 2 0 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-21 5 2 2 0 0 14 5 2 0 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-22 0 0 0 0 0 23 2 2 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-23 0 0 0 0 0 16 3 3 0 0
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-24 1 0 0 0 0 17 3 1 1 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-25 5 2 1 0 1 15 5 3 1 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-26 1 0 0 0 0 21 4 2 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-27 0 0 0 0 0 27 8 6 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-28 1 0 0 0 0 10 3 1 1 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-29 1 0 0 0 0 17 4 2 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-30 3 1 1 0 0 19 4 1 0 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-07-31 1 0 0 0 0 20 3 2 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-01 4 0 0 0 0 20 6 4 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-02 0 0 0 0 0 25 7 3 1 3
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-03 1 0 0 0 0 31 3 2 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-04 1 1 0 1 0 21 3 2 0 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-05 3 0 0 0 0 31 6 4 0 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-06 1 0 0 0 0 19 5 2 1 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-07 1 1 1 0 0 18 4 1 1 2
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-08 0 0 0 0 0 31 4 2 1 1
PLTcojYWKm_xqWwOuzLuoSBwZQi95J9GA6 2015-08-09 1 0 0 0 0 31 3 2 0 1
