video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-01 0 0 0 0 0 62 25 14 4 7
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-02 2 0 0 0 0 77 22 8 3 11
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-03 0 0 0 0 0 49 14 8 1 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-04 1 1 0 0 1 41 7 4 0 3
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-05 0 0 0 0 0 33 11 5 0 6
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-06 0 0 0 0 0 21 6 1 0 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-07 2 0 0 0 0 44 6 4 1 1
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-08 0 0 0 0 0 51 8 3 0 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-09 1 0 0 0 0 35 4 1 1 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-10 2 1 1 0 0 29 6 1 1 4
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-11 0 0 0 0 0 34 2 1 1 0
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-12 1 0 0 0 0 29 6 4 1 1
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-13 0 0 0 0 0 52 13 10 1 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-14 0 0 0 0 0 48 16 6 2 8
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-15 9 0 0 0 0 74 16 11 0 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-16 0 0 0 0 0 52 13 8 0 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-17 3 3 2 0 1 56 13 9 0 4
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-18 5 2 1 0 1 32 5 3 0 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-19 0 0 0 0 0 46 10 5 0 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-20 1 0 0 0 0 53 7 2 1 4
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-21 1 0 0 0 0 65 12 8 0 4
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-22 3 1 0 0 1 33 6 5 0 1
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-23 0 0 0 0 0 46 11 4 3 4
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-24 0 0 0 0 0 48 8 8 0 0
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-25 1 0 0 0 0 38 5 3 0 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-26 0 0 0 0 0 47 13 9 1 3
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-27 3 1 1 0 0 46 5 2 1 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-28 0 0 0 0 0 53 15 7 3 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-29 1 0 0 0 0 45 14 6 1 7
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-06-30 0 0 0 0 0 30 6 4 0 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-01 0 0 0 0 0 37 8 3 0 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-02 5 1 1 0 0 43 2 0 0 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-03 0 0 0 0 0 35 6 5 0 1
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-04 2 0 0 0 0 44 7 5 1 1
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-05 1 0 0 0 0 48 7 4 1 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-06 2 0 0 0 0 38 11 4 2 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-07 0 0 0 0 0 53 12 8 0 4
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-08 8 2 0 0 2 40 5 3 0 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-09 3 0 0 0 0 22 9 7 2 0
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-10 0 0 0 0 0 25 6 2 2 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-11 5 0 0 0 0 57 6 1 0 5
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-12 6 1 0 1 0 56 16 4 4 8
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-13 1 0 0 0 0 38 7 4 1 2
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-14 7 1 0 0 1 41 9 5 0 4
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-15 10 0 0 0 0 54 19 5 5 9
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-16 0 0 0 0 0 29 4 3 0 1
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-17 11 2 2 0 0 28 9 5 1 3
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-18 2 0 0 0 0 41 10 6 1 3
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-19 0 0 0 0 0 31 7 3 0 4
PLTcojYWKm_xqiCX5H9gBl9cdnyX9wXdP4 2015-07-20 0 0 0 0 0 28 8 5 1 2
