video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-01 0 0 0 0 0 35 4 2 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-02 5 1 0 0 1 24 6 2 1 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-03 2 0 0 0 0 36 6 2 2 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-04 0 0 0 0 0 35 3 1 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-05 1 0 0 0 0 40 3 1 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-06 0 0 0 0 0 31 6 3 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-07 1 0 0 0 0 48 9 4 2 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-08 0 0 0 0 0 27 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-09 1 1 1 0 0 29 6 3 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-10 1 0 0 0 0 19 3 1 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-11 1 1 1 0 0 28 7 3 0 4
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-12 0 0 0 0 0 59 9 2 0 7
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-13 0 0 0 0 0 35 4 2 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-14 0 0 0 0 0 26 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-15 2 0 0 0 0 44 5 2 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-16 0 0 0 0 0 37 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-17 0 0 0 0 0 39 5 4 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-18 0 0 0 0 0 29 2 0 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-19 1 0 0 0 0 28 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-20 1 0 0 0 0 37 4 1 1 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-21 1 0 0 0 0 35 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-22 7 0 0 0 0 27 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-23 1 0 0 0 0 38 1 0 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-24 3 0 0 0 0 33 3 2 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-25 1 0 0 0 0 23 2 0 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-26 0 0 0 0 0 21 1 0 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-27 4 1 1 0 0 25 5 2 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-28 0 0 0 0 0 31 6 5 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-29 0 0 0 0 0 35 5 2 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-06-30 0 0 0 0 0 54 7 2 0 5
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-01 1 0 0 0 0 22 2 0 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-02 0 0 0 0 0 39 7 2 1 4
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-03 1 0 0 0 0 34 5 3 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-04 1 0 0 0 0 45 4 1 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-05 1 0 0 0 0 39 4 0 0 4
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-06 0 0 0 0 0 59 9 4 0 5
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-07 1 0 0 0 0 48 4 1 1 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-08 5 2 0 0 2 53 4 1 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-09 0 0 0 0 0 44 4 1 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-10 0 0 0 0 0 84 11 2 1 8
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-11 1 0 0 0 0 66 8 2 0 6
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-12 5 0 0 0 0 55 4 2 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-13 4 0 0 0 0 48 7 3 1 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-14 0 0 0 0 0 29 2 1 1 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-15 2 0 0 0 0 51 3 2 1 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-16 4 0 0 0 0 52 3 1 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-17 1 0 0 0 0 44 3 2 1 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-18 4 0 0 0 0 47 10 7 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-19 0 0 0 0 0 35 8 2 1 5
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-20 0 0 0 0 0 67 16 10 0 6
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-21 9 1 1 0 0 63 9 6 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-22 1 0 0 0 0 55 10 5 1 4
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-23 1 0 0 0 0 37 2 0 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-24 8 5 1 2 2 27 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-25 4 0 0 0 0 29 4 1 1 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-26 1 0 0 0 0 36 9 2 0 7
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-27 0 0 0 0 0 26 2 0 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-28 1 0 0 0 0 28 3 3 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-29 0 0 0 0 0 41 6 5 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-30 0 0 0 0 0 27 5 2 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-07-31 3 0 0 0 0 28 2 2 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-01 0 0 0 0 0 33 7 3 0 4
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-02 2 2 1 0 1 26 1 0 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-03 0 0 0 0 0 28 0 0 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-04 0 0 0 0 0 53 13 8 0 5
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-05 4 0 0 0 0 71 9 7 0 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-06 2 0 0 0 0 48 9 9 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-07 1 0 0 0 0 44 2 2 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-08 4 1 0 1 0 31 6 6 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-09 0 0 0 0 0 36 5 2 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-10 0 0 0 0 0 33 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-11 0 0 0 0 0 37 3 3 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-12 2 0 0 0 0 41 6 2 1 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-13 1 0 0 0 0 27 1 0 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-14 1 0 0 0 0 44 8 5 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-15 0 0 0 0 0 35 5 4 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-16 1 0 0 0 0 23 1 0 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-17 0 0 0 0 0 32 5 1 1 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-18 0 0 0 0 0 28 6 5 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-19 1 0 0 0 0 38 6 6 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-20 1 0 0 0 0 25 3 3 0 0
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-21 3 0 0 0 0 25 6 3 1 2
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-22 0 0 0 0 0 40 8 5 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-23 4 2 0 0 2 38 6 3 0 3
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-24 0 0 0 0 0 42 9 4 0 5
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-25 3 1 0 0 1 31 4 2 1 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-26 1 0 0 0 0 32 2 1 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-27 2 0 0 0 0 28 4 3 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-28 2 0 0 0 0 25 8 7 0 1
PLTcojYWKm_xreqAUHzo1oJr6iVI7dESzE 2015-08-29 0 0 0 0 0 44 8 5 0 3
