video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
2016-01-19 2015-06-01 32 6 6 0 0 812 270 188 17 65
2016-01-19 2015-06-02 34 9 7 0 2 748 221 157 15 49
2016-01-19 2015-06-03 36 11 7 1 3 850 228 178 8 42
2016-01-19 2015-06-04 38 17 12 1 4 809 219 156 18 45
2016-01-19 2015-06-05 28 7 5 0 2 890 247 166 12 69
2016-01-19 2015-06-06 40 7 6 0 1 859 259 177 17 65
2016-01-19 2015-06-07 38 12 9 1 2 834 261 184 14 63
2016-01-19 2015-06-08 21 8 6 0 2 834 227 168 13 46
2016-01-19 2015-06-09 30 7 6 0 1 957 307 222 10 75
2016-01-19 2015-06-10 40 7 4 0 3 922 297 174 21 102
2016-01-19 2015-06-11 27 5 4 0 1 889 269 186 23 60
2016-01-19 2015-06-12 27 5 3 0 2 884 279 187 14 78
2016-01-19 2015-06-13 34 9 4 1 4 1037 281 209 22 50
2016-01-19 2015-06-14 28 12 9 0 3 848 247 192 16 39
2016-01-19 2015-06-15 36 4 3 0 1 833 214 159 10 45
2016-01-19 2015-06-16 29 4 3 0 1 884 253 179 21 53
2016-01-19 2015-06-17 46 17 13 1 3 912 280 199 17 64
2016-01-19 2015-06-18 33 17 14 1 2 951 291 181 28 82
2016-01-19 2015-06-19 45 12 8 3 1 1069 301 213 20 68
2016-01-19 2015-06-20 26 9 7 1 1 1121 358 237 42 79
2016-01-19 2015-06-21 47 14 9 0 5 1168 410 283 25 102
2016-01-19 2015-06-22 37 16 15 1 0 1046 375 268 29 78
2016-01-19 2015-06-23 29 6 4 0 2 939 284 207 13 64
2016-01-19 2015-06-24 52 11 6 0 5 978 284 184 14 86
2016-01-19 2015-06-25 44 26 9 4 13 954 301 222 25 54
2016-01-19 2015-06-26 39 18 12 2 4 914 321 213 35 73
2016-01-19 2015-06-27 54 22 14 1 7 894 251 169 21 61
2016-01-19 2015-06-28 43 16 9 1 6 1020 343 247 18 78
2016-01-19 2015-06-29 34 5 4 1 0 949 265 173 18 74
2016-01-19 2015-06-30 38 8 5 1 2 935 262 192 11 59
2016-01-19 2015-07-01 59 19 13 2 4 1015 297 198 24 75
2016-01-19 2015-07-02 52 19 18 0 1 950 276 191 28 57
2016-01-19 2015-07-03 40 13 12 1 0 988 320 196 33 91
2016-01-19 2015-07-04 45 17 7 1 9 992 268 181 20 67
2016-01-19 2015-07-05 45 18 8 3 7 1043 309 201 31 77
2016-01-19 2015-07-06 28 11 7 0 4 1151 278 200 29 49
2016-01-19 2015-07-07 42 12 11 0 1 942 264 179 29 56
2016-01-19 2015-07-08 26 5 3 1 1 958 296 195 31 70
2016-01-19 2015-07-09 20 9 4 4 1 827 227 158 23 46
2016-01-19 2015-07-10 45 16 11 0 5 1010 284 206 28 50
2016-01-19 2015-07-11 36 13 8 0 5 1030 293 205 24 64
2016-01-19 2015-07-12 36 10 7 1 2 1045 313 216 31 66
2016-01-19 2015-07-13 49 14 11 0 3 988 321 232 27 62
2016-01-19 2015-07-14 33 9 7 1 1 985 335 211 37 87
2016-01-19 2015-07-15 33 9 8 0 1 1029 314 232 22 60
2016-01-19 2015-07-16 28 6 4 1 1 862 254 171 21 62
2016-01-19 2015-07-17 59 23 19 1 3 804 247 168 15 64
2016-01-19 2015-07-18 27 5 4 0 1 875 260 183 19 58
2016-01-19 2015-07-19 34 7 4 2 1 887 298 212 19 67
2016-01-19 2015-07-20 27 6 2 2 2 941 312 214 24 74
2016-01-19 2015-07-21 49 24 20 0 4 897 271 199 20 52
2016-01-19 2015-07-22 48 20 15 4 1 875 270 198 26 46
2016-01-19 2015-07-23 29 6 2 0 4 902 288 191 23 74
