video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
-pb-i_PlBlA 2015-06-01 1 0 0 0 0 39 18 14 0 4
-pb-i_PlBlA 2015-06-02 5 2 2 0 0 20 8 5 2 1
-pb-i_PlBlA 2015-06-03 4 2 1 1 0 36 9 5 1 3
-pb-i_PlBlA 2015-06-04 2 0 0 0 0 39 12 8 0 4
-pb-i_PlBlA 2015-06-05 1 0 0 0 0 33 7 4 2 1
-pb-i_PlBlA 2015-06-06 9 2 2 0 0 33 11 7 0 4
-pb-i_PlBlA 2015-06-07 12 3 2 0 1 49 13 9 1 3
-pb-i_PlBlA 2015-06-08 11 4 2 1 1 40 5 3 0 2
-pb-i_PlBlA 2015-06-09 5 0 0 0 0 39 10 8 1 1
-pb-i_PlBlA 2015-06-10 4 1 1 0 0 55 10 7 0 3
-pb-i_PlBlA 2015-06-11 6 0 0 0 0 34 8 5 1 2
-pb-i_PlBlA 2015-06-12 8 1 0 0 1 41 7 6 0 1
-pb-i_PlBlA 2015-06-13 5 1 0 1 0 38 8 5 1 2
-pb-i_PlBlA 2015-06-14 6 1 1 0 0 42 13 11 1 1
-pb-i_PlBlA 2015-06-15 5 0 0 0 0 53 11 8 0 3
-pb-i_PlBlA 2015-06-16 4 0 0 0 0 48 6 5 0 1
-pb-i_PlBlA 2015-06-17 15 5 4 1 0 43 11 11 0 0
-pb-i_PlBlA 2015-06-18 7 1 1 0 0 38 10 6 1 3
-pb-i_PlBlA 2015-06-19 5 0 0 0 0 35 10 5 2 3
-pb-i_PlBlA 2015-06-20 4 2 2 0 0 52 13 7 1 5
-pb-i_PlBlA 2015-06-21 4 0 0 0 0 36 13 10 0 3
-pb-i_PlBlA 2015-06-22 4 3 3 0 0 34 15 8 4 3
-pb-i_PlBlA 2015-06-23 6 1 1 0 0 41 6 4 0 2
-pb-i_PlBlA 2015-06-24 2 1 0 0 1 37 13 9 2 2
-pb-i_PlBlA 2015-06-25 3 1 1 0 0 24 9 5 0 4
-pb-i_PlBlA 2015-06-26 3 2 2 0 0 22 7 4 1 2
-pb-i_PlBlA 2015-06-27 8 2 2 0 0 41 5 3 1 1
-pb-i_PlBlA 2015-06-28 7 3 2 0 1 28 8 3 0 5
-pb-i_PlBlA 2015-06-29 10 2 2 0 0 46 8 6 1 1
-pb-i_PlBlA 2015-06-30 8 1 1 0 0 39 10 5 0 5
-pb-i_PlBlA 2015-07-01 8 1 0 0 1 29 11 9 0 2
-pb-i_PlBlA 2015-07-02 9 2 2 0 0 22 6 4 0 2
-pb-i_PlBlA 2015-07-03 5 1 1 0 0 36 7 3 2 2
-pb-i_PlBlA 2015-07-04 4 1 0 0 1 41 10 6 0 4
-pb-i_PlBlA 2015-07-05 4 1 0 0 1 22 8 6 1 1
-pb-i_PlBlA 2015-07-06 3 0 0 0 0 33 7 4 0 3
-pb-i_PlBlA 2015-07-07 3 0 0 0 0 34 6 2 1 3
-pb-i_PlBlA 2015-07-08 2 1 1 0 0 45 14 12 0 2
-pb-i_PlBlA 2015-07-09 4 1 0 1 0 26 4 3 1 0
-pb-i_PlBlA 2015-07-10 9 2 0 0 2 36 7 5 0 2
-pb-i_PlBlA 2015-07-11 7 1 0 0 1 33 7 4 0 3
-pb-i_PlBlA 2015-07-12 3 0 0 0 0 39 14 12 0 2
-pb-i_PlBlA 2015-07-13 10 3 3 0 0 52 15 6 1 8
-pb-i_PlBlA 2015-07-14 4 1 0 0 1 50 15 6 2 7
-pb-i_PlBlA 2015-07-15 4 1 1 0 0 42 15 11 2 2
-pb-i_PlBlA 2015-07-16 6 1 0 0 1 41 10 3 2 5
-pb-i_PlBlA 2015-07-17 4 1 1 0 0 40 12 9 1 2
-pb-i_PlBlA 2015-07-18 2 0 0 0 0 34 14 9 2 3
-pb-i_PlBlA 2015-07-19 3 0 0 0 0 31 8 6 0 2
-pb-i_PlBlA 2015-07-20 7 0 0 0 0 40 14 8 1 5
-pb-i_PlBlA 2015-07-21 12 7 6 0 1 58 16 13 0 3
-pb-i_PlBlA 2015-07-22 12 4 4 0 0 27 8 7 0 1
-pb-i_PlBlA 2015-07-23 6 3 1 0 2 39 10 10 0 0
-pb-i_PlBlA 2015-07-24 8 7 6 0 1 51 14 13 0 1
-pb-i_PlBlA 2015-07-25 11 6 0 0 6 53 7 4 1 2
-pb-i_PlBlA 2015-07-26 6 1 1 0 0 57 13 5 3 5
-pb-i_PlBlA 2015-07-27 16 8 5 0 3 35 7 3 2 2
-pb-i_PlBlA 2015-07-28 4 0 0 0 0 32 10 7 0 3
-pb-i_PlBlA 2015-07-29 5 1 0 0 1 47 11 9 1 1
-pb-i_PlBlA 2015-07-30 26 17 16 0 1 47 12 6 3 3
-pb-i_PlBlA 2015-07-31 19 9 6 2 1 47 10 8 0 2
-pb-i_PlBlA 2015-08-01 3 3 0 0 3 32 5 3 2 0
-pb-i_PlBlA 2015-08-02 7 4 4 0 0 51 13 10 0 3
