video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
7rxJZX7UPaE 2015-06-01 0 0 0 0 0 0 0 0 0 0
7rxJZX7UPaE 2015-06-02 1 0 0 0 0 0 0 0 0 0
7rxJZX7UPaE 2015-06-03 0 0 0 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-06-04 1 0 0 0 0 3 2 2 0 0
7rxJZX7UPaE 2015-06-05 0 0 0 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-06-06 0 0 0 0 0 3 1 1 0 0
7rxJZX7UPaE 2015-06-07 1 0 0 0 0 4 1 1 0 0
7rxJZX7UPaE 2015-06-08 0 0 0 0 0 3 1 1 0 0
7rxJZX7UPaE 2015-06-09 1 0 0 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-06-10 0 0 0 0 0 3 1 0 0 1
7rxJZX7UPaE 2015-06-11 0 0 0 0 0 0 0 0 0 0
7rxJZX7UPaE 2015-06-12 0 0 0 0 0 2 1 0 0 1
7rxJZX7UPaE 2015-06-13 0 0 0 0 0 6 6 6 0 0
7rxJZX7UPaE 2015-06-14 1 0 0 0 0 3 1 0 0 1
7rxJZX7UPaE 2015-06-15 1 0 0 0 0 3 0 0 0 0
7rxJZX7UPaE 2015-06-16 0 0 0 0 0 3 1 0 0 1
7rxJZX7UPaE 2015-06-17 0 0 0 0 0 3 0 0 0 0
7rxJZX7UPaE 2015-06-18 1 0 0 0 0 1 1 1 0 0
7rxJZX7UPaE 2015-06-19 1 0 0 0 0 0 0 0 0 0
7rxJZX7UPaE 2015-06-20 2 0 0 0 0 2 2 1 0 1
7rxJZX7UPaE 2015-06-21 0 0 0 0 0 4 1 0 0 1
7rxJZX7UPaE 2015-06-22 0 0 0 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-06-23 0 0 0 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-06-24 1 1 0 0 1 1 0 0 0 0
7rxJZX7UPaE 2015-06-25 0 0 0 0 0 3 0 0 0 0
7rxJZX7UPaE 2015-06-26 0 0 0 0 0 3 0 0 0 0
7rxJZX7UPaE 2015-06-27 2 0 0 0 0 2 1 0 0 1
7rxJZX7UPaE 2015-06-28 1 1 1 0 0 3 2 2 0 0
7rxJZX7UPaE 2015-06-29 1 0 0 0 0 0 0 0 0 0
7rxJZX7UPaE 2015-06-30 0 0 0 0 0 0 0 0 0 0
7rxJZX7UPaE 2015-07-01 1 0 0 0 0 0 0 0 0 0
7rxJZX7UPaE 2015-07-02 1 0 0 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-07-03 1 1 1 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-07-04 0 0 0 0 0 2 1 0 0 1
7rxJZX7UPaE 2015-07-05 0 0 0 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-07-06 2 0 0 0 0 1 1 1 0 0
7rxJZX7UPaE 2015-07-07 0 0 0 0 0 4 0 0 0 0
7rxJZX7UPaE 2015-07-08 0 0 0 0 0 2 2 2 0 0
7rxJZX7UPaE 2015-07-09 0 0 0 0 0 4 0 0 0 0
7rxJZX7UPaE 2015-07-10 10 1 1 0 0 0 0 0 0 0
7rxJZX7UPaE 2015-07-11 1 0 0 0 0 1 0 0 0 0
7rxJZX7UPaE 2015-07-12 3 0 0 0 0 2 1 1 0 0
