video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
KtgGDq7tbwk 2015-06-01 0 0 0 0 0 39 21 12 4 5
KtgGDq7tbwk 2015-06-02 0 0 0 0 0 43 17 6 4 7
KtgGDq7tbwk 2015-06-03 0 0 0 0 0 21 5 3 1 1
KtgGDq7tbwk 2015-06-04 0 0 0 0 0 29 7 4 0 3
KtgGDq7tbwk 2015-06-05 1 1 0 0 1 14 4 3 0 1
KtgGDq7tbwk 2015-06-06 0 0 0 0 0 7 2 1 0 1
KtgGDq7tbwk 2015-06-07 0 0 0 0 0 15 5 4 1 0
KtgGDq7tbwk 2015-06-08 0 0 0 0 0 16 6 3 0 3
KtgGDq7tbwk 2015-06-09 1 0 0 0 0 17 2 1 1 0
KtgGDq7tbwk 2015-06-10 1 1 1 0 0 6 3 1 1 1
KtgGDq7tbwk 2015-06-11 0 0 0 0 0 18 1 0 1 0
KtgGDq7tbwk 2015-06-12 0 0 0 0 0 9 4 3 1 0
KtgGDq7tbwk 2015-06-13 0 0 0 0 0 33 10 7 0 3
KtgGDq7tbwk 2015-06-14 0 0 0 0 0 20 16 5 2 9
KtgGDq7tbwk 2015-06-15 6 1 0 1 0 25 5 2 0 3
KtgGDq7tbwk 2015-06-16 1 1 0 0 1 15 6 4 0 2
KtgGDq7tbwk 2015-06-17 0 0 0 0 0 19 6 4 0 2
KtgGDq7tbwk 2015-06-18 0 0 0 0 0 7 2 2 0 0
KtgGDq7tbwk 2015-06-19 11 3 0 0 3 20 7 5 0 2
KtgGDq7tbwk 2015-06-20 6 1 0 0 1 20 8 3 2 3
KtgGDq7tbwk 2015-06-21 1 0 0 0 0 33 9 7 0 2
KtgGDq7tbwk 2015-06-22 2 1 0 0 1 17 6 5 0 1
KtgGDq7tbwk 2015-06-23 1 0 0 0 0 35 11 4 3 4
KtgGDq7tbwk 2015-06-24 0 0 0 0 0 31 8 8 0 0
KtgGDq7tbwk 2015-06-25 0 0 0 0 0 13 4 3 0 1
KtgGDq7tbwk 2015-06-26 0 0 0 0 0 21 11 8 1 2
KtgGDq7tbwk 2015-06-27 1 0 0 0 0 18 1 0 1 0
KtgGDq7tbwk 2015-06-28 4 0 0 0 0 28 11 5 3 3
KtgGDq7tbwk 2015-06-29 1 0 0 0 0 22 8 2 1 5
KtgGDq7tbwk 2015-06-30 0 0 0 0 0 13 6 4 0 2
KtgGDq7tbwk 2015-07-01 2 2 0 1 1 19 9 3 0 6
KtgGDq7tbwk 2015-07-02 0 0 0 0 0 24 3 1 0 2
KtgGDq7tbwk 2015-07-03 0 0 0 0 0 23 4 3 0 1
KtgGDq7tbwk 2015-07-04 1 0 0 0 0 32 3 2 1 0
KtgGDq7tbwk 2015-07-05 1 0 0 0 0 25 5 3 1 1
KtgGDq7tbwk 2015-07-06 2 0 0 0 0 18 8 3 1 4
KtgGDq7tbwk 2015-07-07 0 0 0 0 0 36 10 8 0 2
KtgGDq7tbwk 2015-07-08 0 0 0 0 0 21 4 3 0 1
KtgGDq7tbwk 2015-07-09 0 0 0 0 0 16 7 4 2 1
KtgGDq7tbwk 2015-07-10 0 0 0 0 0 21 6 2 3 1
KtgGDq7tbwk 2015-07-11 2 0 0 0 0 39 1 1 0 0
KtgGDq7tbwk 2015-07-12 0 0 0 0 0 19 9 4 3 2
KtgGDq7tbwk 2015-07-13 0 0 0 0 0 23 5 2 1 2
KtgGDq7tbwk 2015-07-14 0 0 0 0 0 23 8 5 0 3
KtgGDq7tbwk 2015-07-15 7 4 1 0 3 40 16 5 5 6
KtgGDq7tbwk 2015-07-16 2 0 0 0 0 20 3 2 0 1
KtgGDq7tbwk 2015-07-17 1 0 0 0 0 14 6 3 1 2
KtgGDq7tbwk 2015-07-18 1 0 0 0 0 24 7 4 1 2
KtgGDq7tbwk 2015-07-19 0 0 0 0 0 17 5 3 0 2
KtgGDq7tbwk 2015-07-20 0 0 0 0 0 20 8 1 3 4
KtgGDq7tbwk 2015-07-21 0 0 0 0 0 32 12 6 2 4
KtgGDq7tbwk 2015-07-22 0 0 0 0 0 38 9 4 1 4
KtgGDq7tbwk 2015-07-23 0 0 0 0 0 35 10 3 1 6
KtgGDq7tbwk 2015-07-24 0 0 0 0 0 25 3 2 1 0
KtgGDq7tbwk 2015-07-25 0 0 0 0 0 12 2 1 0 1
KtgGDq7tbwk 2015-07-26 0 0 0 0 0 14 3 2 0 1
KtgGDq7tbwk 2015-07-27 0 0 0 0 0 21 4 1 0 3
KtgGDq7tbwk 2015-07-28 1 0 0 0 0 37 14 6 4 4
KtgGDq7tbwk 2015-07-29 0 0 0 0 0 9 1 1 0 0
KtgGDq7tbwk 2015-07-30 0 0 0 0 0 23 6 5 0 1
KtgGDq7tbwk 2015-07-31 3 0 0 0 0 14 5 2 1 2
KtgGDq7tbwk 2015-08-01 0 0 0 0 0 12 4 1 0 3
KtgGDq7tbwk 2015-08-02 0 0 0 0 0 19 3 1 0 2
KtgGDq7tbwk 2015-08-03 0 0 0 0 0 16 4 1 1 2
KtgGDq7tbwk 2015-08-04 0 0 0 0 0 15 4 1 1 2
KtgGDq7tbwk 2015-08-05 0 0 0 0 0 27 2 0 1 1
KtgGDq7tbwk 2015-08-06 0 0 0 0 0 22 6 5 0 1
KtgGDq7tbwk 2015-08-07 0 0 0 0 0 29 5 2 0 3
KtgGDq7tbwk 2015-08-08 1 0 0 0 0 17 6 4 0 2
KtgGDq7tbwk 2015-08-09 0 0 0 0 0 18 4 4 0 0
KtgGDq7tbwk 2015-08-10 0 0 0 0 0 17 2 0 2 0
KtgGDq7tbwk 2015-08-11 0 0 0 0 0 16 4 3 1 0
KtgGDq7tbwk 2015-08-12 0 0 0 0 0 16 2 0 0 2
KtgGDq7tbwk 2015-08-13 0 0 0 0 0 11 1 1 0 0
KtgGDq7tbwk 2015-08-14 1 0 0 0 0 30 8 2 3 3
KtgGDq7tbwk 2015-08-15 1 1 0 1 0 32 8 4 1 3
KtgGDq7tbwk 2015-08-16 0 0 0 0 0 12 4 0 1 3
KtgGDq7tbwk 2015-08-17 4 0 0 0 0 18 7 4 1 2
KtgGDq7tbwk 2015-08-18 3 0 0 0 0 32 13 7 2 4
KtgGDq7tbwk 2015-08-19 3 1 0 1 0 16 2 1 0 1
KtgGDq7tbwk 2015-08-20 0 0 0 0 0 24 10 4 2 4
KtgGDq7tbwk 2015-08-21 2 0 0 0 0 31 13 10 1 2
KtgGDq7tbwk 2015-08-22 3 0 0 0 0 11 3 2 0 1
KtgGDq7tbwk 2015-08-23 0 0 0 0 0 21 6 2 0 4
KtgGDq7tbwk 2015-08-24 0 0 0 0 0 35 8 6 0 2
KtgGDq7tbwk 2015-08-25 0 0 0 0 0 17 11 6 1 4
KtgGDq7tbwk 2015-08-26 2 2 0 2 0 26 3 2 0 1
KtgGDq7tbwk 2015-08-27 0 0 0 0 0 39 9 2 2 5
KtgGDq7tbwk 2015-08-28 1 0 0 0 0 23 10 2 3 5
KtgGDq7tbwk 2015-08-29 0 0 0 0 0 14 2 1 0 1
KtgGDq7tbwk 2015-08-30 0 0 0 0 0 19 4 3 0 1
KtgGDq7tbwk 2015-08-31 0 0 0 0 0 25 3 2 1 0
KtgGDq7tbwk 2015-09-01 0 0 0 0 0 21 6 3 0 3
KtgGDq7tbwk 2015-09-02 0 0 0 0 0 20 6 4 0 2
KtgGDq7tbwk 2015-09-03 0 0 0 0 0 39 5 2 0 3
KtgGDq7tbwk 2015-09-04 3 0 0 0 0 27 4 2 1 1
KtgGDq7tbwk 2015-09-05 0 0 0 0 0 13 8 3 0 5
KtgGDq7tbwk 2015-09-06 3 1 0 1 0 32 15 4 1 10
KtgGDq7tbwk 2015-09-07 1 0 0 0 0 35 11 8 1 2
KtgGDq7tbwk 2015-09-08 0 0 0 0 0 32 12 2 5 5
KtgGDq7tbwk 2015-09-09 0 0 0 0 0 31 13 11 0 2
KtgGDq7tbwk 2015-09-10 0 0 0 0 0 55 25 4 12 9
KtgGDq7tbwk 2015-09-11 0 0 0 0 0 26 5 3 0 2
KtgGDq7tbwk 2015-09-12 0 0 0 0 0 40 10 7 1 2
KtgGDq7tbwk 2015-09-13 0 0 0 0 0 23 9 5 0 4
KtgGDq7tbwk 2015-09-14 1 0 0 0 0 28 10 4 1 5
KtgGDq7tbwk 2015-09-15 1 0 0 0 0 32 7 4 0 3
KtgGDq7tbwk 2015-09-16 0 0 0 0 0 47 9 7 0 2
KtgGDq7tbwk 2015-09-17 0 0 0 0 0 18 5 3 0 2
KtgGDq7tbwk 2015-09-18 0 0 0 0 0 12 5 3 0 2
KtgGDq7tbwk 2015-09-19 1 0 0 0 0 26 12 7 1 4
KtgGDq7tbwk 2015-09-20 0 0 0 0 0 22 8 3 0 5
KtgGDq7tbwk 2015-09-21 2 1 1 0 0 22 5 2 0 3
KtgGDq7tbwk 2015-09-22 1 1 0 0 1 25 12 5 2 5
KtgGDq7tbwk 2015-09-23 1 0 0 0 0 32 15 8 0 7
KtgGDq7tbwk 2015-09-24 0 0 0 0 0 25 2 2 0 0
KtgGDq7tbwk 2015-09-25 0 0 0 0 0 22 6 3 0 3
KtgGDq7tbwk 2015-09-26 0 0 0 0 0 25 9 5 1 3
KtgGDq7tbwk 2015-09-27 1 0 0 0 0 33 12 7 1 4
KtgGDq7tbwk 2015-09-28 3 1 1 0 0 44 9 4 3 2
KtgGDq7tbwk 2015-09-29 0 0 0 0 0 25 10 4 1 5
KtgGDq7tbwk 2015-09-30 0 0 0 0 0 35 8 7 1 0
KtgGDq7tbwk 2015-10-01 0 0 0 0 0 29 13 4 3 6
KtgGDq7tbwk 2015-10-02 1 1 0 1 0 19 6 2 2 2
KtgGDq7tbwk 2015-10-03 0 0 0 0 0 31 8 5 2 1
KtgGDq7tbwk 2015-10-04 1 0 0 0 0 25 7 4 0 3
KtgGDq7tbwk 2015-10-05 2 0 0 0 0 32 6 2 1 3
KtgGDq7tbwk 2015-10-06 1 1 0 0 1 38 13 7 4 2
KtgGDq7tbwk 2015-10-07 1 1 0 0 1 43 8 3 2 3
KtgGDq7tbwk 2015-10-08 0 0 0 0 0 29 8 4 4 0
