video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
M6mKw7hC2p0 2015-06-01 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-02 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-03 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-04 1 1 0 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-06-05 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-06 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-07 2 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-08 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-09 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-10 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-11 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-12 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-13 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-14 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-15 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-16 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-17 3 3 2 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-06-18 5 2 1 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-06-19 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-20 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-21 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-22 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-23 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-24 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-25 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-26 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-27 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-28 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-29 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-06-30 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-01 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-02 5 1 1 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-03 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-04 2 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-05 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-06 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-07 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-08 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-09 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-10 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-11 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-12 5 1 0 1 0 2 0 0 0 0
M6mKw7hC2p0 2015-07-13 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-14 3 1 0 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-07-15 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-16 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-17 9 2 2 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-18 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-19 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-20 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-21 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-22 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-23 2 1 0 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-07-24 3 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-25 2 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-26 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-27 2 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-28 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-29 2 1 1 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-30 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-07-31 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-01 4 3 0 0 3 0 0 0 0 0
M6mKw7hC2p0 2015-08-02 2 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-03 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-04 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-05 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-06 1 1 0 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-08-07 2 1 0 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-08-08 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-09 2 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-10 3 2 1 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-08-11 4 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-12 2 1 1 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-13 2 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-14 2 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-15 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-16 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-17 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-18 3 1 1 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-19 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-20 3 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-21 4 1 1 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-22 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-23 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-24 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-25 3 2 1 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-08-26 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-27 3 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-28 4 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-29 0 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-30 1 0 0 0 0 0 0 0 0 0
M6mKw7hC2p0 2015-08-31 4 1 0 0 1 0 0 0 0 0
M6mKw7hC2p0 2015-09-01 0 0 0 0 0 0 0 0 0 0
