video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
Ojr1LH0hx2I 2015-06-01 8 1 1 0 0 9 0 0 0 0
Ojr1LH0hx2I 2015-06-02 1 0 0 0 0 9 0 0 0 0
Ojr1LH0hx2I 2015-06-03 2 0 0 0 0 10 0 0 0 0
Ojr1LH0hx2I 2015-06-04 3 1 1 0 0 15 5 4 1 0
Ojr1LH0hx2I 2015-06-05 1 0 0 0 0 9 1 0 0 1
Ojr1LH0hx2I 2015-06-06 2 0 0 0 0 5 1 0 0 1
Ojr1LH0hx2I 2015-06-07 2 2 2 0 0 18 3 2 0 1
Ojr1LH0hx2I 2015-06-08 2 2 2 0 0 6 0 0 0 0
Ojr1LH0hx2I 2015-06-09 0 0 0 0 0 5 0 0 0 0
Ojr1LH0hx2I 2015-06-10 0 0 0 0 0 14 2 0 1 1
Ojr1LH0hx2I 2015-06-11 2 2 2 0 0 1 0 0 0 0
Ojr1LH0hx2I 2015-06-12 3 0 0 0 0 3 1 0 0 1
Ojr1LH0hx2I 2015-06-13 0 0 0 0 0 2 1 0 0 1
Ojr1LH0hx2I 2015-06-14 1 0 0 0 0 9 2 2 0 0
Ojr1LH0hx2I 2015-06-15 2 0 0 0 0 17 1 1 0 0
Ojr1LH0hx2I 2015-06-16 4 4 4 0 0 0 0 0 0 0
Ojr1LH0hx2I 2015-06-17 2 0 0 0 0 13 1 0 0 1
Ojr1LH0hx2I 2015-06-18 0 0 0 0 0 11 4 2 0 2
Ojr1LH0hx2I 2015-06-19 0 0 0 0 0 3 0 0 0 0
Ojr1LH0hx2I 2015-06-20 6 3 3 0 0 4 0 0 0 0
Ojr1LH0hx2I 2015-06-21 5 1 1 0 0 4 1 0 0 1
Ojr1LH0hx2I 2015-06-22 6 5 5 0 0 0 0 0 0 0
Ojr1LH0hx2I 2015-06-23 4 0 0 0 0 2 0 0 0 0
Ojr1LH0hx2I 2015-06-24 1 1 1 0 0 0 0 0 0 0
Ojr1LH0hx2I 2015-06-25 2 0 0 0 0 3 0 0 0 0
Ojr1LH0hx2I 2015-06-26 0 0 0 0 0 6 1 1 0 0
Ojr1LH0hx2I 2015-06-27 6 3 2 0 1 2 0 0 0 0
Ojr1LH0hx2I 2015-06-28 11 8 8 0 0 9 0 0 0 0
Ojr1LH0hx2I 2015-06-29 2 1 1 0 0 5 3 0 1 2
Ojr1LH0hx2I 2015-06-30 2 2 2 0 0 4 3 2 0 1
Ojr1LH0hx2I 2015-07-01 0 0 0 0 0 7 1 1 0 0
Ojr1LH0hx2I 2015-07-02 1 0 0 0 0 1 0 0 0 0
Ojr1LH0hx2I 2015-07-03 0 0 0 0 0 2 0 0 0 0
Ojr1LH0hx2I 2015-07-04 3 3 3 0 0 7 4 2 0 2
Ojr1LH0hx2I 2015-07-05 0 0 0 0 0 7 1 0 0 1
Ojr1LH0hx2I 2015-07-06 8 2 2 0 0 6 1 1 0 0
Ojr1LH0hx2I 2015-07-07 2 0 0 0 0 8 0 0 0 0
Ojr1LH0hx2I 2015-07-08 0 0 0 0 0 15 2 1 0 1
Ojr1LH0hx2I 2015-07-09 0 0 0 0 0 3 0 0 0 0
Ojr1LH0hx2I 2015-07-10 2 0 0 0 0 7 1 0 0 1
Ojr1LH0hx2I 2015-07-11 1 0 0 0 0 2 2 1 0 1
Ojr1LH0hx2I 2015-07-12 0 0 0 0 0 5 2 1 1 0
Ojr1LH0hx2I 2015-07-13 2 0 0 0 0 9 0 0 0 0
Ojr1LH0hx2I 2015-07-14 0 0 0 0 0 6 0 0 0 0
Ojr1LH0hx2I 2015-07-15 0 0 0 0 0 6 0 0 0 0
