video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
VR_kLczq9zs 2015-06-01 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-02 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-03 5 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-04 1 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-05 1 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-06-06 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-07 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-08 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-09 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-10 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-11 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-12 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-13 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-14 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-15 2 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-16 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-17 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-18 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-19 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-20 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-21 4 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-22 5 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-23 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-24 3 2 1 0 1 0 0 0 0 0
VR_kLczq9zs 2015-06-25 4 1 0 1 0 0 0 0 0 0
VR_kLczq9zs 2015-06-26 5 2 2 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-27 4 4 3 0 1 0 0 0 0 0
VR_kLczq9zs 2015-06-28 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-29 2 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-06-30 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-01 4 2 2 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-02 4 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-03 1 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-04 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-05 3 2 2 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-06 1 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-07 5 2 2 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-08 7 2 1 0 1 0 0 0 0 0
VR_kLczq9zs 2015-07-09 2 1 0 1 0 0 0 0 0 0
VR_kLczq9zs 2015-07-10 1 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-07-11 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-12 2 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-13 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-14 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-15 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-16 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-17 5 4 4 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-18 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-19 3 1 0 1 0 0 0 0 0 0
VR_kLczq9zs 2015-07-20 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-21 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-22 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-23 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-24 3 2 2 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-25 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-26 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-27 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-28 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-29 1 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-07-30 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-07-31 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-01 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-02 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-03 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-04 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-05 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-06 1 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-08-07 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-08 1 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-08-09 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-10 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-11 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-12 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-13 2 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-14 1 1 0 1 0 0 0 0 0 0
VR_kLczq9zs 2015-08-15 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-16 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-17 1 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-18 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-19 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-20 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-21 5 2 2 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-22 1 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-08-23 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-24 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-25 1 1 0 1 0 0 0 0 0 0
VR_kLczq9zs 2015-08-26 3 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-27 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-28 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-29 1 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-30 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-08-31 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-01 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-02 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-03 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-04 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-05 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-06 2 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-09-07 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-08 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-09 1 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-10 1 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-09-11 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-12 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-13 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-14 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-15 3 2 2 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-16 1 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-17 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-18 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-19 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-20 1 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-21 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-22 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-23 2 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-09-24 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-25 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-26 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-27 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-28 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-29 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-09-30 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-01 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-02 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-03 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-04 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-05 2 1 1 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-06 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-07 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-08 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-09 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-10 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-11 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-12 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-13 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-14 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-15 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-16 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-17 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-18 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-19 3 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-20 2 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-21 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-22 1 1 0 0 1 0 0 0 0 0
VR_kLczq9zs 2015-10-23 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-24 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-25 0 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-26 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-27 2 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-28 1 0 0 0 0 0 0 0 0 0
VR_kLczq9zs 2015-10-29 5 2 0 2 0 0 0 0 0 0
