video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
XPwZGHivQSQ 2015-06-01 7 0 0 0 0 18 8 5 1 2
XPwZGHivQSQ 2015-06-02 0 0 0 0 0 17 7 7 0 0
XPwZGHivQSQ 2015-06-03 3 0 0 0 0 22 5 3 1 1
XPwZGHivQSQ 2015-06-04 0 0 0 0 0 22 10 3 2 5
XPwZGHivQSQ 2015-06-05 1 0 0 0 0 24 12 6 0 6
XPwZGHivQSQ 2015-06-06 2 0 0 0 0 24 8 3 0 5
XPwZGHivQSQ 2015-06-07 4 0 0 0 0 16 4 1 1 2
XPwZGHivQSQ 2015-06-08 0 0 0 0 0 26 11 5 1 5
XPwZGHivQSQ 2015-06-09 1 0 0 0 0 26 9 5 0 4
XPwZGHivQSQ 2015-06-10 0 0 0 0 0 13 6 3 0 3
XPwZGHivQSQ 2015-06-11 1 0 0 0 0 26 7 2 1 4
XPwZGHivQSQ 2015-06-12 4 0 0 0 0 9 8 3 0 5
XPwZGHivQSQ 2015-06-13 5 0 0 0 0 25 5 4 1 0
XPwZGHivQSQ 2015-06-14 1 0 0 0 0 19 7 5 1 1
XPwZGHivQSQ 2015-06-15 4 1 1 0 0 21 6 6 0 0
XPwZGHivQSQ 2015-06-16 1 0 0 0 0 18 8 7 0 1
XPwZGHivQSQ 2015-06-17 2 2 2 0 0 15 3 2 1 0
XPwZGHivQSQ 2015-06-18 1 1 0 1 0 17 9 4 0 5
XPwZGHivQSQ 2015-06-19 2 1 1 0 0 14 2 1 0 1
XPwZGHivQSQ 2015-06-20 3 1 0 1 0 17 7 4 2 1
XPwZGHivQSQ 2015-06-21 0 0 0 0 0 16 9 4 2 3
XPwZGHivQSQ 2015-06-22 5 5 5 0 0 21 11 8 0 3
XPwZGHivQSQ 2015-06-23 0 0 0 0 0 14 8 4 0 4
XPwZGHivQSQ 2015-06-24 1 0 0 0 0 21 6 3 0 3
XPwZGHivQSQ 2015-06-25 2 0 0 0 0 15 5 1 0 4
XPwZGHivQSQ 2015-06-26 1 0 0 0 0 18 9 6 1 2
XPwZGHivQSQ 2015-06-27 2 0 0 0 0 14 8 5 0 3
XPwZGHivQSQ 2015-06-28 0 0 0 0 0 22 15 9 1 5
XPwZGHivQSQ 2015-06-29 0 0 0 0 0 14 7 3 0 4
XPwZGHivQSQ 2015-06-30 0 0 0 0 0 21 10 7 0 3
XPwZGHivQSQ 2015-07-01 0 0 0 0 0 11 3 1 0 2
XPwZGHivQSQ 2015-07-02 0 0 0 0 0 24 9 5 2 2
XPwZGHivQSQ 2015-07-03 0 0 0 0 0 23 14 8 1 5
XPwZGHivQSQ 2015-07-04 1 0 0 0 0 11 2 1 1 0
XPwZGHivQSQ 2015-07-05 0 0 0 0 0 14 3 2 0 1
XPwZGHivQSQ 2015-07-06 0 0 0 0 0 30 7 4 1 2
XPwZGHivQSQ 2015-07-07 0 0 0 0 0 15 9 5 2 2
XPwZGHivQSQ 2015-07-08 0 0 0 0 0 18 7 4 1 2
XPwZGHivQSQ 2015-07-09 0 0 0 0 0 30 7 4 0 3
XPwZGHivQSQ 2015-07-10 1 0 0 0 0 9 6 4 2 0
XPwZGHivQSQ 2015-07-11 0 0 0 0 0 23 6 4 0 2
XPwZGHivQSQ 2015-07-12 0 0 0 0 0 15 10 6 0 4
XPwZGHivQSQ 2015-07-13 0 0 0 0 0 17 7 7 0 0
XPwZGHivQSQ 2015-07-14 0 0 0 0 0 13 6 4 0 2
XPwZGHivQSQ 2015-07-15 1 0 0 0 0 13 4 4 0 0
XPwZGHivQSQ 2015-07-16 0 0 0 0 0 18 5 3 1 1
XPwZGHivQSQ 2015-07-17 0 0 0 0 0 13 7 6 0 1
XPwZGHivQSQ 2015-07-18 0 0 0 0 0 20 4 3 0 1
XPwZGHivQSQ 2015-07-19 0 0 0 0 0 29 20 13 1 6
XPwZGHivQSQ 2015-07-20 1 0 0 0 0 14 6 1 1 4
XPwZGHivQSQ 2015-07-21 0 0 0 0 0 10 3 1 1 1
XPwZGHivQSQ 2015-07-22 0 0 0 0 0 15 5 2 1 2
XPwZGHivQSQ 2015-07-23 0 0 0 0 0 13 4 2 1 1
XPwZGHivQSQ 2015-07-24 1 0 0 0 0 19 10 6 0 4
XPwZGHivQSQ 2015-07-25 0 0 0 0 0 13 4 3 1 0
XPwZGHivQSQ 2015-07-26 0 0 0 0 0 7 2 2 0 0
XPwZGHivQSQ 2015-07-27 1 1 0 0 1 15 6 2 0 4
XPwZGHivQSQ 2015-07-28 0 0 0 0 0 15 2 2 0 0
XPwZGHivQSQ 2015-07-29 0 0 0 0 0 12 0 0 0 0
XPwZGHivQSQ 2015-07-30 1 0 0 0 0 11 4 1 0 3
XPwZGHivQSQ 2015-07-31 0 0 0 0 0 15 6 3 2 1
XPwZGHivQSQ 2015-08-01 0 0 0 0 0 19 10 6 1 3
XPwZGHivQSQ 2015-08-02 0 0 0 0 0 9 3 3 0 0
XPwZGHivQSQ 2015-08-03 0 0 0 0 0 18 3 2 0 1
XPwZGHivQSQ 2015-08-04 1 0 0 0 0 8 3 2 0 1
XPwZGHivQSQ 2015-08-05 0 0 0 0 0 26 4 2 0 2
XPwZGHivQSQ 2015-08-06 0 0 0 0 0 10 4 4 0 0
XPwZGHivQSQ 2015-08-07 0 0 0 0 0 13 4 1 0 3
XPwZGHivQSQ 2015-08-08 0 0 0 0 0 20 2 0 0 2
XPwZGHivQSQ 2015-08-09 1 1 1 0 0 14 3 2 0 1
XPwZGHivQSQ 2015-08-10 0 0 0 0 0 14 6 5 1 0
XPwZGHivQSQ 2015-08-11 0 0 0 0 0 14 7 6 0 1
XPwZGHivQSQ 2015-08-12 0 0 0 0 0 21 10 3 2 5
XPwZGHivQSQ 2015-08-13 0 0 0 0 0 35 12 8 2 2
XPwZGHivQSQ 2015-08-14 0 0 0 0 0 24 10 7 2 1
XPwZGHivQSQ 2015-08-15 0 0 0 0 0 25 5 2 0 3
XPwZGHivQSQ 2015-08-16 1 1 0 0 1 18 10 9 0 1
XPwZGHivQSQ 2015-08-17 2 0 0 0 0 35 14 10 1 3
XPwZGHivQSQ 2015-08-18 0 0 0 0 0 32 11 8 0 3
