video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
b7H00OUf1lA 2015-06-01 0 0 0 0 0 25 13 8 1 4
b7H00OUf1lA 2015-06-02 3 0 0 0 0 26 8 5 0 3
b7H00OUf1lA 2015-06-03 0 0 0 0 0 28 10 10 0 0
b7H00OUf1lA 2015-06-04 0 0 0 0 0 16 2 2 0 0
b7H00OUf1lA 2015-06-05 0 0 0 0 0 14 2 2 0 0
b7H00OUf1lA 2015-06-06 0 0 0 0 0 27 2 1 0 1
b7H00OUf1lA 2015-06-07 0 0 0 0 0 13 7 2 2 3
b7H00OUf1lA 2015-06-08 0 0 0 0 0 15 4 3 0 1
b7H00OUf1lA 2015-06-09 0 0 0 0 0 17 6 4 0 2
b7H00OUf1lA 2015-06-10 0 0 0 0 0 23 9 3 0 6
b7H00OUf1lA 2015-06-11 0 0 0 0 0 17 8 7 0 1
b7H00OUf1lA 2015-06-12 0 0 0 0 0 17 7 3 0 4
b7H00OUf1lA 2015-06-13 0 0 0 0 0 18 4 1 0 3
b7H00OUf1lA 2015-06-14 0 0 0 0 0 19 9 2 2 5
b7H00OUf1lA 2015-06-15 0 0 0 0 0 23 8 7 0 1
b7H00OUf1lA 2015-06-16 0 0 0 0 0 36 13 9 0 4
b7H00OUf1lA 2015-06-17 0 0 0 0 0 20 6 1 0 5
b7H00OUf1lA 2015-06-18 0 0 0 0 0 32 9 6 2 1
b7H00OUf1lA 2015-06-19 1 0 0 0 0 26 7 4 0 3
b7H00OUf1lA 2015-06-20 0 0 0 0 0 35 10 5 3 2
b7H00OUf1lA 2015-06-21 0 0 0 0 0 36 11 7 2 2
b7H00OUf1lA 2015-06-22 0 0 0 0 0 24 12 8 0 4
b7H00OUf1lA 2015-06-23 0 0 0 0 0 28 7 3 1 3
b7H00OUf1lA 2015-06-24 0 0 0 0 0 20 10 6 0 4
b7H00OUf1lA 2015-06-25 0 0 0 0 0 18 8 3 0 5
b7H00OUf1lA 2015-06-26 1 0 0 0 0 30 13 9 2 2
b7H00OUf1lA 2015-06-27 0 0 0 0 0 27 7 3 0 4
b7H00OUf1lA 2015-06-28 0 0 0 0 0 21 5 2 0 3
b7H00OUf1lA 2015-06-29 0 0 0 0 0 32 17 13 1 3
b7H00OUf1lA 2015-06-30 0 0 0 0 0 19 7 5 0 2
b7H00OUf1lA 2015-07-01 0 0 0 0 0 16 8 3 1 4
b7H00OUf1lA 2015-07-02 0 0 0 0 0 18 6 5 1 0
b7H00OUf1lA 2015-07-03 0 0 0 0 0 13 6 2 1 3
b7H00OUf1lA 2015-07-04 0 0 0 0 0 17 5 1 0 4
b7H00OUf1lA 2015-07-05 0 0 0 0 0 18 7 5 0 2
b7H00OUf1lA 2015-07-06 0 0 0 0 0 25 7 4 2 1
b7H00OUf1lA 2015-07-07 0 0 0 0 0 16 3 1 2 0
b7H00OUf1lA 2015-07-08 0 0 0 0 0 34 14 9 2 3
b7H00OUf1lA 2015-07-09 0 0 0 0 0 21 8 5 1 2
b7H00OUf1lA 2015-07-10 0 0 0 0 0 17 4 4 0 0
b7H00OUf1lA 2015-07-11 0 0 0 0 0 20 6 6 0 0
b7H00OUf1lA 2015-07-12 0 0 0 0 0 12 2 2 0 0
b7H00OUf1lA 2015-07-13 0 0 0 0 0 40 21 14 2 5
b7H00OUf1lA 2015-07-14 0 0 0 0 0 24 10 6 1 3
b7H00OUf1lA 2015-07-15 0 0 0 0 0 40 7 7 0 0
b7H00OUf1lA 2015-07-16 0 0 0 0 0 23 9 5 3 1
b7H00OUf1lA 2015-07-17 0 0 0 0 0 20 10 5 1 4
b7H00OUf1lA 2015-07-18 0 0 0 0 0 27 12 7 2 3
b7H00OUf1lA 2015-07-19 0 0 0 0 0 25 10 4 1 5
b7H00OUf1lA 2015-07-20 0 0 0 0 0 30 10 8 1 1
b7H00OUf1lA 2015-07-21 0 0 0 0 0 17 4 2 0 2
b7H00OUf1lA 2015-07-22 0 0 0 0 0 32 10 8 0 2
b7H00OUf1lA 2015-07-23 0 0 0 0 0 25 5 4 0 1
b7H00OUf1lA 2015-07-24 0 0 0 0 0 16 6 5 1 0
b7H00OUf1lA 2015-07-25 0 0 0 0 0 26 13 10 2 1
b7H00OUf1lA 2015-07-26 0 0 0 0 0 29 7 3 0 4
b7H00OUf1lA 2015-07-27 0 0 0 0 0 13 5 3 0 2
b7H00OUf1lA 2015-07-28 0 0 0 0 0 19 7 4 2 1
b7H00OUf1lA 2015-07-29 0 0 0 0 0 30 7 2 0 5
b7H00OUf1lA 2015-07-30 0 0 0 0 0 28 8 5 0 3
b7H00OUf1lA 2015-07-31 0 0 0 0 0 16 6 6 0 0
b7H00OUf1lA 2015-08-01 0 0 0 0 0 22 9 7 0 2
b7H00OUf1lA 2015-08-02 3 0 0 0 0 24 9 3 2 4
b7H00OUf1lA 2015-08-03 3 2 2 0 0 23 4 4 0 0
b7H00OUf1lA 2015-08-04 3 0 0 0 0 31 7 5 1 1
b7H00OUf1lA 2015-08-05 0 0 0 0 0 32 6 5 0 1
b7H00OUf1lA 2015-08-06 4 1 1 0 0 25 7 5 1 1
b7H00OUf1lA 2015-08-07 0 0 0 0 0 22 7 7 0 0
b7H00OUf1lA 2015-08-08 0 0 0 0 0 18 7 4 1 2
b7H00OUf1lA 2015-08-09 1 1 1 0 0 21 9 4 1 4
b7H00OUf1lA 2015-08-10 2 1 0 0 1 29 10 6 1 3
b7H00OUf1lA 2015-08-11 0 0 0 0 0 22 7 5 0 2
b7H00OUf1lA 2015-08-12 0 0 0 0 0 23 11 8 1 2
b7H00OUf1lA 2015-08-13 0 0 0 0 0 31 14 12 0 2
b7H00OUf1lA 2015-08-14 1 0 0 0 0 31 3 2 0 1
b7H00OUf1lA 2015-08-15 0 0 0 0 0 46 16 9 2 5
b7H00OUf1lA 2015-08-16 3 1 0 1 0 30 9 4 1 4
b7H00OUf1lA 2015-08-17 0 0 0 0 0 28 5 4 0 1
b7H00OUf1lA 2015-08-18 0 0 0 0 0 26 8 5 0 3
b7H00OUf1lA 2015-08-19 2 0 0 0 0 36 15 8 4 3
b7H00OUf1lA 2015-08-20 1 0 0 0 0 17 6 6 0 0
b7H00OUf1lA 2015-08-21 0 0 0 0 0 25 12 8 0 4
b7H00OUf1lA 2015-08-22 0 0 0 0 0 28 6 5 0 1
b7H00OUf1lA 2015-08-23 0 0 0 0 0 26 9 4 1 4
b7H00OUf1lA 2015-08-24 1 0 0 0 0 20 3 2 0 1
b7H00OUf1lA 2015-08-25 1 0 0 0 0 21 8 6 0 2
b7H00OUf1lA 2015-08-26 1 1 0 0 1 20 10 8 1 1
b7H00OUf1lA 2015-08-27 0 0 0 0 0 38 6 3 0 3
b7H00OUf1lA 2015-08-28 0 0 0 0 0 41 15 11 2 2
b7H00OUf1lA 2015-08-29 0 0 0 0 0 24 10 4 1 5
b7H00OUf1lA 2015-08-30 0 0 0 0 0 25 6 4 1 1
b7H00OUf1lA 2015-08-31 0 0 0 0 0 24 6 4 1 1
b7H00OUf1lA 2015-09-01 0 0 0 0 0 26 5 3 0 2
b7H00OUf1lA 2015-09-02 0 0 0 0 0 23 6 5 0 1
b7H00OUf1lA 2015-09-03 2 1 0 0 1 14 3 2 0 1
b7H00OUf1lA 2015-09-04 0 0 0 0 0 27 7 5 1 1
b7H00OUf1lA 2015-09-05 0 0 0 0 0 41 9 6 0 3
b7H00OUf1lA 2015-09-06 3 0 0 0 0 41 5 2 1 2
b7H00OUf1lA 2015-09-07 1 0 0 0 0 32 7 3 2 2
b7H00OUf1lA 2015-09-08 0 0 0 0 0 25 8 6 1 1
b7H00OUf1lA 2015-09-09 0 0 0 0 0 20 9 7 0 2
b7H00OUf1lA 2015-09-10 2 1 0 0 1 18 10 8 0 2
b7H00OUf1lA 2015-09-11 1 0 0 0 0 25 8 5 1 2
b7H00OUf1lA 2015-09-12 3 2 0 0 2 30 9 4 1 4
b7H00OUf1lA 2015-09-13 3 1 1 0 0 60 14 11 0 3
b7H00OUf1lA 2015-09-14 0 0 0 0 0 27 6 3 1 2
b7H00OUf1lA 2015-09-15 0 0 0 0 0 58 9 6 1 2
b7H00OUf1lA 2015-09-16 1 0 0 0 0 20 7 3 0 4
b7H00OUf1lA 2015-09-17 1 0 0 0 0 32 15 9 1 5
b7H00OUf1lA 2015-09-18 0 0 0 0 0 19 6 4 1 1
b7H00OUf1lA 2015-09-19 0 0 0 0 0 35 10 4 3 3
b7H00OUf1lA 2015-09-20 1 0 0 0 0 34 9 7 0 2
b7H00OUf1lA 2015-09-21 1 0 0 0 0 25 8 6 0 2
b7H00OUf1lA 2015-09-22 0 0 0 0 0 25 7 4 1 2
b7H00OUf1lA 2015-09-23 1 0 0 0 0 41 14 9 0 5
b7H00OUf1lA 2015-09-24 2 0 0 0 0 32 6 5 0 1
b7H00OUf1lA 2015-09-25 0 0 0 0 0 34 10 2 1 7
b7H00OUf1lA 2015-09-26 0 0 0 0 0 42 15 13 0 2
b7H00OUf1lA 2015-09-27 0 0 0 0 0 44 13 11 2 0
b7H00OUf1lA 2015-09-28 0 0 0 0 0 44 16 9 3 4
b7H00OUf1lA 2015-09-29 0 0 0 0 0 30 7 4 2 1
b7H00OUf1lA 2015-09-30 1 1 1 0 0 21 8 6 1 1
b7H00OUf1lA 2015-10-01 2 0 0 0 0 34 14 10 2 2
b7H00OUf1lA 2015-10-02 1 0 0 0 0 30 8 4 0 4
b7H00OUf1lA 2015-10-03 0 0 0 0 0 33 10 5 3 2
b7H00OUf1lA 2015-10-04 2 0 0 0 0 28 6 2 0 4
b7H00OUf1lA 2015-10-05 0 0 0 0 0 29 7 5 0 2
b7H00OUf1lA 2015-10-06 0 0 0 0 0 29 10 5 2 3
b7H00OUf1lA 2015-10-07 0 0 0 0 0 28 11 9 1 1
b7H00OUf1lA 2015-10-08 1 0 0 0 0 41 16 12 1 3
b7H00OUf1lA 2015-10-09 1 0 0 0 0 38 8 5 0 3
b7H00OUf1lA 2015-10-10 0 0 0 0 0 28 12 4 0 8
b7H00OUf1lA 2015-10-11 0 0 0 0 0 35 16 10 2 4
b7H00OUf1lA 2015-10-12 0 0 0 0 0 48 15 8 1 6
b7H00OUf1lA 2015-10-13 0 0 0 0 0 36 12 7 1 4
b7H00OUf1lA 2015-10-14 1 0 0 0 0 50 12 8 1 3
b7H00OUf1lA 2015-10-15 0 0 0 0 0 28 10 8 0 2
b7H00OUf1lA 2015-10-16 1 0 0 0 0 26 9 7 0 2
b7H00OUf1lA 2015-10-17 0 0 0 0 0 35 11 5 2 4
b7H00OUf1lA 2015-10-18 0 0 0 0 0 26 12 8 2 2
