video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
ilqKn1BuS-s 2015-06-01 12 3 3 0 0 625 194 132 11 51
ilqKn1BuS-s 2015-06-02 3 0 0 0 0 572 163 116 13 34
ilqKn1BuS-s 2015-06-03 3 0 0 0 0 642 178 140 7 31
ilqKn1BuS-s 2015-06-04 7 3 3 0 0 645 162 110 14 38
ilqKn1BuS-s 2015-06-05 9 4 2 0 2 731 199 132 8 59
ilqKn1BuS-s 2015-06-06 15 2 2 0 0 635 193 133 15 45
ilqKn1BuS-s 2015-06-07 8 4 3 0 1 663 196 149 8 39
ilqKn1BuS-s 2015-06-08 1 0 0 0 0 649 170 130 12 28
ilqKn1BuS-s 2015-06-09 8 2 2 0 0 728 226 169 7 50
ilqKn1BuS-s 2015-06-10 12 1 1 0 0 711 228 142 17 69
ilqKn1BuS-s 2015-06-11 7 2 2 0 0 702 204 141 18 45
ilqKn1BuS-s 2015-06-12 1 1 1 0 0 668 188 134 11 43
ilqKn1BuS-s 2015-06-13 13 4 2 0 2 758 213 158 16 39
ilqKn1BuS-s 2015-06-14 7 3 3 0 0 641 169 139 9 21
ilqKn1BuS-s 2015-06-15 9 1 1 0 0 613 163 123 8 32
ilqKn1BuS-s 2015-06-16 4 0 0 0 0 668 180 123 16 41
ilqKn1BuS-s 2015-06-17 14 1 1 0 0 721 209 150 13 46
ilqKn1BuS-s 2015-06-18 9 7 7 0 0 772 218 133 22 63
ilqKn1BuS-s 2015-06-19 13 2 1 1 0 870 234 165 13 56
ilqKn1BuS-s 2015-06-20 10 1 1 0 0 883 271 182 23 66
ilqKn1BuS-s 2015-06-21 7 0 0 0 0 977 332 224 20 88
ilqKn1BuS-s 2015-06-22 10 0 0 0 0 807 282 207 22 53
ilqKn1BuS-s 2015-06-23 7 2 2 0 0 745 234 174 14 46
ilqKn1BuS-s 2015-06-24 11 0 0 0 0 827 230 147 12 71
ilqKn1BuS-s 2015-06-25 18 12 3 0 9 802 251 196 17 38
ilqKn1BuS-s 2015-06-26 5 1 1 0 0 722 247 163 28 56
ilqKn1BuS-s 2015-06-27 9 2 1 0 1 670 184 129 14 41
ilqKn1BuS-s 2015-06-28 9 1 0 1 0 803 258 193 9 56
ilqKn1BuS-s 2015-06-29 8 1 1 0 0 752 200 134 11 55
ilqKn1BuS-s 2015-06-30 13 2 0 1 1 726 197 147 10 40
ilqKn1BuS-s 2015-07-01 13 5 4 0 1 829 218 148 20 50
ilqKn1BuS-s 2015-07-02 9 3 3 0 0 790 220 150 25 45
ilqKn1BuS-s 2015-07-03 8 2 2 0 0 767 239 148 18 73
ilqKn1BuS-s 2015-07-04 9 1 1 0 0 785 215 147 14 54
ilqKn1BuS-s 2015-07-05 9 3 2 0 1 865 257 170 23 64
ilqKn1BuS-s 2015-07-06 6 3 2 0 1 936 217 156 18 43
ilqKn1BuS-s 2015-07-07 9 3 3 0 0 753 207 147 22 38
ilqKn1BuS-s 2015-07-08 2 0 0 0 0 754 226 148 21 57
ilqKn1BuS-s 2015-07-09 7 3 1 2 0 642 150 110 16 24
ilqKn1BuS-s 2015-07-10 7 3 3 0 0 768 213 154 20 39
ilqKn1BuS-s 2015-07-11 10 4 2 0 2 805 230 157 21 52
ilqKn1BuS-s 2015-07-12 8 3 3 0 0 855 238 169 17 52
ilqKn1BuS-s 2015-07-13 16 2 2 0 0 776 231 167 19 45
ilqKn1BuS-s 2015-07-14 13 0 0 0 0 780 249 163 24 62
ilqKn1BuS-s 2015-07-15 10 2 2 0 0 802 232 167 16 49
ilqKn1BuS-s 2015-07-16 9 1 1 0 0 647 181 130 10 41
ilqKn1BuS-s 2015-07-17 9 3 2 0 1 618 173 120 13 40
ilqKn1BuS-s 2015-07-18 6 3 3 0 0 697 185 135 14 36
ilqKn1BuS-s 2015-07-19 9 2 1 1 0 683 210 160 8 42
ilqKn1BuS-s 2015-07-20 6 4 1 1 2 745 236 159 18 59
ilqKn1BuS-s 2015-07-21 11 6 6 0 0 681 202 147 14 41
ilqKn1BuS-s 2015-07-22 12 7 6 0 1 711 217 151 21 45
ilqKn1BuS-s 2015-07-23 8 0 0 0 0 686 223 145 18 60
ilqKn1BuS-s 2015-07-24 6 1 0 1 0 679 196 139 15 42
ilqKn1BuS-s 2015-07-25 5 2 0 0 2 722 209 160 15 34
ilqKn1BuS-s 2015-07-26 8 4 3 0 1 741 254 195 10 49
ilqKn1BuS-s 2015-07-27 14 4 2 0 2 797 231 180 11 40
ilqKn1BuS-s 2015-07-28 3 0 0 0 0 754 241 177 15 49
ilqKn1BuS-s 2015-07-29 26 2 2 0 0 661 194 150 13 31
ilqKn1BuS-s 2015-07-30 20 8 4 0 4 639 190 138 15 37
ilqKn1BuS-s 2015-07-31 12 2 2 0 0 642 165 132 10 23
ilqKn1BuS-s 2015-08-01 7 0 0 0 0 720 207 141 10 56
ilqKn1BuS-s 2015-08-02 13 5 5 0 0 720 245 198 13 34
ilqKn1BuS-s 2015-08-03 16 3 2 0 1 780 230 173 10 47
ilqKn1BuS-s 2015-08-04 10 1 1 0 0 757 215 161 9 45
ilqKn1BuS-s 2015-08-05 22 5 5 0 0 756 248 184 11 53
ilqKn1BuS-s 2015-08-06 11 6 4 0 2 699 193 144 12 37
ilqKn1BuS-s 2015-08-07 9 3 1 0 2 640 168 122 12 34
ilqKn1BuS-s 2015-08-08 8 4 1 0 3 707 184 135 10 39
ilqKn1BuS-s 2015-08-09 2 0 0 0 0 784 267 209 16 42
ilqKn1BuS-s 2015-08-10 6 2 2 0 0 698 228 179 11 38
ilqKn1BuS-s 2015-08-11 15 3 1 0 2 717 220 162 10 48
ilqKn1BuS-s 2015-08-12 13 2 0 0 2 682 197 152 10 35
ilqKn1BuS-s 2015-08-13 14 4 4 0 0 697 225 160 16 49
ilqKn1BuS-s 2015-08-14 9 5 3 1 1 715 227 163 12 52
ilqKn1BuS-s 2015-08-15 12 3 3 0 0 740 210 155 14 41
ilqKn1BuS-s 2015-08-16 9 1 1 0 0 794 224 169 15 40
ilqKn1BuS-s 2015-08-17 6 2 1 0 1 753 248 195 13 40
ilqKn1BuS-s 2015-08-18 12 5 3 1 1 739 214 159 11 44
ilqKn1BuS-s 2015-08-19 12 2 2 0 0 770 222 151 8 63
ilqKn1BuS-s 2015-08-20 13 3 1 1 1 717 216 146 21 49
ilqKn1BuS-s 2015-08-21 10 3 3 0 0 748 242 180 16 46
ilqKn1BuS-s 2015-08-22 10 3 3 0 0 654 179 139 11 29
ilqKn1BuS-s 2015-08-23 12 2 1 1 0 705 199 142 13 44
ilqKn1BuS-s 2015-08-24 12 3 1 1 1 748 205 152 15 38
ilqKn1BuS-s 2015-08-25 8 2 1 0 1 800 224 180 8 36
ilqKn1BuS-s 2015-08-26 9 4 4 0 0 778 222 165 10 47
ilqKn1BuS-s 2015-08-27 17 7 6 0 1 723 195 143 12 40
ilqKn1BuS-s 2015-08-28 19 6 6 0 0 768 212 139 24 49
ilqKn1BuS-s 2015-08-29 14 4 3 0 1 747 209 149 7 53
ilqKn1BuS-s 2015-08-30 17 10 9 0 1 730 199 138 11 50
ilqKn1BuS-s 2015-08-31 15 3 2 0 1 782 218 158 19 41
ilqKn1BuS-s 2015-09-01 9 4 2 1 1 653 174 126 11 37
ilqKn1BuS-s 2015-09-02 6 2 1 1 0 753 189 132 15 42
ilqKn1BuS-s 2015-09-03 13 5 4 0 1 751 210 169 7 34
ilqKn1BuS-s 2015-09-04 10 3 3 0 0 785 221 151 15 55
ilqKn1BuS-s 2015-09-05 16 7 7 0 0 726 206 134 14 58
ilqKn1BuS-s 2015-09-06 6 2 2 0 0 787 236 153 10 73
ilqKn1BuS-s 2015-09-07 12 6 4 0 2 727 210 137 14 59
ilqKn1BuS-s 2015-09-08 5 5 5 0 0 720 223 169 11 43
ilqKn1BuS-s 2015-09-09 6 1 1 0 0 724 214 140 12 62
ilqKn1BuS-s 2015-09-10 8 2 2 0 0 618 167 116 8 43
ilqKn1BuS-s 2015-09-11 13 4 4 0 0 703 199 148 16 35
ilqKn1BuS-s 2015-09-12 18 7 4 0 3 744 212 156 17 39
