video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
lezIO8yg2r4 2015-06-01 0 0 0 0 0 6 1 1 0 0
lezIO8yg2r4 2015-06-02 1 1 1 0 0 6 2 2 0 0
lezIO8yg2r4 2015-06-03 0 0 0 0 0 5 1 0 0 1
lezIO8yg2r4 2015-06-04 0 0 0 0 0 3 3 1 2 0
lezIO8yg2r4 2015-06-05 0 0 0 0 0 1 1 1 0 0
lezIO8yg2r4 2015-06-06 0 0 0 0 0 1 0 0 0 0
lezIO8yg2r4 2015-06-07 0 0 0 0 0 4 2 0 0 2
lezIO8yg2r4 2015-06-08 2 2 2 0 0 3 0 0 0 0
lezIO8yg2r4 2015-06-09 0 0 0 0 0 3 1 1 0 0
lezIO8yg2r4 2015-06-10 0 0 0 0 0 7 3 1 1 1
lezIO8yg2r4 2015-06-11 2 1 1 0 0 5 3 3 0 0
lezIO8yg2r4 2015-06-12 1 0 0 0 0 10 7 1 0 6
lezIO8yg2r4 2015-06-13 0 0 0 0 0 17 6 4 0 2
lezIO8yg2r4 2015-06-14 3 3 2 0 1 14 6 6 0 0
lezIO8yg2r4 2015-06-15 1 0 0 0 0 11 1 1 0 0
lezIO8yg2r4 2015-06-16 1 0 0 0 0 0 0 0 0 0
lezIO8yg2r4 2015-06-17 0 0 0 0 0 10 6 4 1 1
lezIO8yg2r4 2015-06-18 0 0 0 0 0 4 0 0 0 0
lezIO8yg2r4 2015-06-19 1 1 1 0 0 6 3 3 0 0
lezIO8yg2r4 2015-06-20 0 0 0 0 0 12 6 3 1 2
lezIO8yg2r4 2015-06-21 4 3 2 0 1 15 11 9 0 2
lezIO8yg2r4 2015-06-22 0 0 0 0 0 10 6 3 1 2
lezIO8yg2r4 2015-06-23 0 0 0 0 0 8 3 3 0 0
lezIO8yg2r4 2015-06-24 4 2 2 0 0 5 1 1 0 0
lezIO8yg2r4 2015-06-25 0 0 0 0 0 17 8 4 3 1
lezIO8yg2r4 2015-06-26 0 0 0 0 0 9 4 2 1 1
lezIO8yg2r4 2015-06-27 0 0 0 0 0 2 2 2 0 0
lezIO8yg2r4 2015-06-28 1 1 1 0 0 7 4 4 0 0
lezIO8yg2r4 2015-06-29 0 0 0 0 0 8 4 2 0 2
lezIO8yg2r4 2015-06-30 1 0 0 0 0 9 1 1 0 0
lezIO8yg2r4 2015-07-01 2 2 0 2 0 16 8 5 1 2
lezIO8yg2r4 2015-07-02 0 0 0 0 0 19 8 4 1 3
lezIO8yg2r4 2015-07-03 1 0 0 0 0 9 1 0 1 0
lezIO8yg2r4 2015-07-04 0 0 0 0 0 10 4 2 0 2
lezIO8yg2r4 2015-07-05 1 0 0 0 0 19 5 3 1 1
