video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
mtj3M_Bb0z8 2015-06-01 2 1 1 0 0 20 7 4 1 2
mtj3M_Bb0z8 2015-06-02 3 0 0 0 0 18 5 5 0 0
mtj3M_Bb0z8 2015-06-03 4 2 0 1 1 18 3 3 0 0
mtj3M_Bb0z8 2015-06-04 0 0 0 0 0 15 4 4 0 0
mtj3M_Bb0z8 2015-06-05 6 0 0 0 0 8 3 3 0 0
mtj3M_Bb0z8 2015-06-06 0 0 0 0 0 17 5 5 0 0
mtj3M_Bb0z8 2015-06-07 0 0 0 0 0 16 11 6 0 5
mtj3M_Bb0z8 2015-06-08 0 0 0 0 0 22 8 3 0 5
mtj3M_Bb0z8 2015-06-09 0 0 0 0 0 33 13 10 0 3
mtj3M_Bb0z8 2015-06-10 0 0 0 0 0 15 5 2 1 2
mtj3M_Bb0z8 2015-06-11 0 0 0 0 0 28 15 10 2 3
mtj3M_Bb0z8 2015-06-12 0 0 0 0 0 31 8 6 0 2
mtj3M_Bb0z8 2015-06-13 0 0 0 0 0 34 12 7 0 5
mtj3M_Bb0z8 2015-06-14 0 0 0 0 0 18 10 9 0 1
mtj3M_Bb0z8 2015-06-15 0 0 0 0 0 10 1 0 0 1
mtj3M_Bb0z8 2015-06-16 0 0 0 0 0 9 5 5 0 0
mtj3M_Bb0z8 2015-06-17 1 0 0 0 0 10 4 3 0 1
mtj3M_Bb0z8 2015-06-18 0 0 0 0 0 8 5 3 1 1
mtj3M_Bb0z8 2015-06-19 1 0 0 0 0 13 7 2 3 2
mtj3M_Bb0z8 2015-06-20 0 0 0 0 0 8 4 2 2 0
mtj3M_Bb0z8 2015-06-21 0 0 0 0 0 18 9 5 1 3
mtj3M_Bb0z8 2015-06-22 0 0 0 0 0 15 4 1 1 2
mtj3M_Bb0z8 2015-06-23 0 0 0 0 0 6 2 1 0 1
mtj3M_Bb0z8 2015-06-24 0 0 0 0 0 9 2 2 0 0
mtj3M_Bb0z8 2015-06-25 0 0 0 0 0 12 4 3 0 1
mtj3M_Bb0z8 2015-06-26 0 0 0 0 0 31 6 1 0 5
mtj3M_Bb0z8 2015-06-27 0 0 0 0 0 30 7 2 1 4
mtj3M_Bb0z8 2015-06-28 1 0 0 0 0 15 5 3 2 0
mtj3M_Bb0z8 2015-06-29 2 0 0 0 0 14 4 1 0 3
mtj3M_Bb0z8 2015-06-30 0 0 0 0 0 22 5 4 0 1
mtj3M_Bb0z8 2015-07-01 0 0 0 0 0 12 5 3 0 2
mtj3M_Bb0z8 2015-07-02 4 1 1 0 0 11 6 3 0 3
mtj3M_Bb0z8 2015-07-03 0 0 0 0 0 13 4 3 0 1
mtj3M_Bb0z8 2015-07-04 2 0 0 0 0 17 7 3 1 3
mtj3M_Bb0z8 2015-07-05 0 0 0 0 0 15 5 2 1 2
mtj3M_Bb0z8 2015-07-06 0 0 0 0 0 17 5 1 2 2
mtj3M_Bb0z8 2015-07-07 3 0 0 0 0 8 5 3 0 2
mtj3M_Bb0z8 2015-07-08 0 0 0 0 0 20 5 4 0 1
mtj3M_Bb0z8 2015-07-09 0 0 0 0 0 11 5 2 1 2
mtj3M_Bb0z8 2015-07-10 0 0 0 0 0 25 5 2 2 1
mtj3M_Bb0z8 2015-07-11 0 0 0 0 0 20 8 8 0 0
mtj3M_Bb0z8 2015-07-12 0 0 0 0 0 24 6 3 1 2
mtj3M_Bb0z8 2015-07-13 1 1 1 0 0 16 6 4 1 1
mtj3M_Bb0z8 2015-07-14 1 0 0 0 0 11 2 1 1 0
mtj3M_Bb0z8 2015-07-15 1 0 0 0 0 15 5 5 0 0
mtj3M_Bb0z8 2015-07-16 0 0 0 0 0 26 15 8 2 5
mtj3M_Bb0z8 2015-07-17 0 0 0 0 0 27 7 6 0 1
mtj3M_Bb0z8 2015-07-18 0 0 0 0 0 18 4 3 0 1
mtj3M_Bb0z8 2015-07-19 3 0 0 0 0 11 6 2 1 3
mtj3M_Bb0z8 2015-07-20 0 0 0 0 0 9 2 0 1 1
mtj3M_Bb0z8 2015-07-21 0 0 0 0 0 8 2 1 0 1
mtj3M_Bb0z8 2015-07-22 0 0 0 0 0 7 1 1 0 0
mtj3M_Bb0z8 2015-07-23 0 0 0 0 0 12 3 1 0 2
mtj3M_Bb0z8 2015-07-24 0 0 0 0 0 7 4 3 1 0
mtj3M_Bb0z8 2015-07-25 0 0 0 0 0 14 5 2 1 2
mtj3M_Bb0z8 2015-07-26 0 0 0 0 0 15 3 2 0 1
mtj3M_Bb0z8 2015-07-27 6 0 0 0 0 13 4 0 0 4
mtj3M_Bb0z8 2015-07-28 1 1 1 0 0 18 6 3 0 3
mtj3M_Bb0z8 2015-07-29 11 0 0 0 0 16 7 4 1 2
mtj3M_Bb0z8 2015-07-30 0 0 0 0 0 12 5 1 1 3
mtj3M_Bb0z8 2015-07-31 0 0 0 0 0 11 6 2 0 4
mtj3M_Bb0z8 2015-08-01 15 1 1 0 0 21 5 2 3 0
mtj3M_Bb0z8 2015-08-02 0 0 0 0 0 22 6 1 2 3
mtj3M_Bb0z8 2015-08-03 0 0 0 0 0 25 4 3 0 1
mtj3M_Bb0z8 2015-08-04 0 0 0 0 0 25 8 7 0 1
mtj3M_Bb0z8 2015-08-05 0 0 0 0 0 24 0 0 0 0
mtj3M_Bb0z8 2015-08-06 0 0 0 0 0 18 10 7 0 3
mtj3M_Bb0z8 2015-08-07 5 1 1 0 0 19 4 2 0 2
mtj3M_Bb0z8 2015-08-08 6 3 1 2 0 18 7 4 0 3
mtj3M_Bb0z8 2015-08-09 4 3 3 0 0 21 11 9 0 2
mtj3M_Bb0z8 2015-08-10 0 0 0 0 0 13 5 4 0 1
mtj3M_Bb0z8 2015-08-11 0 0 0 0 0 18 5 3 0 2
mtj3M_Bb0z8 2015-08-12 0 0 0 0 0 4 1 1 0 0
