video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
rYedKXpb5mo 2015-06-01 3 1 1 0 0 25 5 1 2 2
rYedKXpb5mo 2015-06-02 5 3 2 0 1 14 4 1 0 3
rYedKXpb5mo 2015-06-03 3 2 2 0 0 21 4 2 0 2
rYedKXpb5mo 2015-06-04 2 1 0 0 1 12 7 5 1 1
rYedKXpb5mo 2015-06-05 6 2 2 0 0 10 4 4 0 0
rYedKXpb5mo 2015-06-06 5 1 0 0 1 15 2 1 1 0
rYedKXpb5mo 2015-06-07 8 3 2 1 0 10 5 4 0 1
rYedKXpb5mo 2015-06-08 4 2 1 0 1 20 12 9 2 1
rYedKXpb5mo 2015-06-09 2 0 0 0 0 25 10 7 1 2
rYedKXpb5mo 2015-06-10 0 0 0 0 0 15 8 3 1 4
rYedKXpb5mo 2015-06-11 2 0 0 0 0 18 7 4 0 3
rYedKXpb5mo 2015-06-12 2 0 0 0 0 20 8 5 1 2
rYedKXpb5mo 2015-06-13 2 0 0 0 0 34 13 5 5 3
rYedKXpb5mo 2015-06-14 2 0 0 0 0 20 5 1 0 4
rYedKXpb5mo 2015-06-15 4 2 1 0 1 16 5 2 1 2
rYedKXpb5mo 2015-06-16 2 0 0 0 0 24 11 7 3 1
rYedKXpb5mo 2015-06-17 1 0 0 0 0 15 7 3 2 2
rYedKXpb5mo 2015-06-18 5 1 1 0 0 23 6 5 0 1
rYedKXpb5mo 2015-06-19 9 3 2 1 0 16 5 4 0 1
rYedKXpb5mo 2015-06-20 3 1 1 0 0 42 15 9 6 0
rYedKXpb5mo 2015-06-21 9 6 4 0 2 17 3 2 0 1
rYedKXpb5mo 2015-06-22 3 2 2 0 0 25 10 7 1 2
rYedKXpb5mo 2015-06-23 2 2 1 0 1 18 6 4 0 2
rYedKXpb5mo 2015-06-24 7 3 2 0 1 17 7 4 1 2
rYedKXpb5mo 2015-06-25 2 1 0 0 1 15 4 3 0 1
rYedKXpb5mo 2015-06-26 2 1 1 0 0 16 6 4 0 2
rYedKXpb5mo 2015-06-27 6 3 2 0 1 18 9 7 1 1
rYedKXpb5mo 2015-06-28 8 2 1 0 1 31 15 8 1 6
rYedKXpb5mo 2015-06-29 1 1 0 1 0 15 6 4 1 1
rYedKXpb5mo 2015-06-30 5 1 0 0 1 20 9 7 1 1
rYedKXpb5mo 2015-07-01 3 0 0 0 0 26 15 10 0 5
rYedKXpb5mo 2015-07-02 10 3 3 0 0 29 11 7 1 3
rYedKXpb5mo 2015-07-03 13 2 1 0 1 23 9 6 1 2
rYedKXpb5mo 2015-07-04 9 5 0 1 4 25 3 3 0 0
rYedKXpb5mo 2015-07-05 4 1 0 0 1 22 9 4 1 4
rYedKXpb5mo 2015-07-06 3 0 0 0 0 26 10 8 1 1
rYedKXpb5mo 2015-07-07 3 0 0 0 0 34 10 8 0 2
rYedKXpb5mo 2015-07-08 1 0 0 0 0 28 8 5 3 0
rYedKXpb5mo 2015-07-09 1 1 0 0 1 21 7 4 0 3
rYedKXpb5mo 2015-07-10 9 1 0 0 1 28 6 5 1 0
rYedKXpb5mo 2015-07-11 4 1 1 0 0 34 10 9 0 1
rYedKXpb5mo 2015-07-12 8 4 2 1 1 18 10 3 5 2
rYedKXpb5mo 2015-07-13 6 2 1 0 1 13 4 3 0 1
rYedKXpb5mo 2015-07-14 2 2 2 0 0 34 16 8 2 6
rYedKXpb5mo 2015-07-15 8 3 2 0 1 31 12 9 1 2
rYedKXpb5mo 2015-07-16 4 1 1 0 0 20 8 3 1 4
rYedKXpb5mo 2015-07-17 9 2 1 1 0 23 8 7 0 1
rYedKXpb5mo 2015-07-18 9 0 0 0 0 24 11 8 0 3
rYedKXpb5mo 2015-07-19 2 1 1 0 0 28 9 5 0 4
rYedKXpb5mo 2015-07-20 3 0 0 0 0 20 9 6 1 2
rYedKXpb5mo 2015-07-21 4 1 1 0 0 21 13 12 0 1
rYedKXpb5mo 2015-07-22 10 2 1 1 0 18 10 7 2 1
rYedKXpb5mo 2015-07-23 2 1 0 0 1 26 13 8 2 3
rYedKXpb5mo 2015-07-24 6 4 4 0 0 18 6 6 0 0
rYedKXpb5mo 2015-07-25 2 1 1 0 0 16 5 2 1 2
rYedKXpb5mo 2015-07-26 11 7 3 2 2 31 14 10 0 4
rYedKXpb5mo 2015-07-27 5 1 0 1 0 29 8 4 1 3
rYedKXpb5mo 2015-07-28 1 0 0 0 0 23 8 7 1 0
rYedKXpb5mo 2015-07-29 2 1 1 0 0 22 7 4 2 1
rYedKXpb5mo 2015-07-30 7 1 1 0 0 24 8 5 0 3
rYedKXpb5mo 2015-07-31 4 0 0 0 0 28 11 9 1 1
rYedKXpb5mo 2015-08-01 8 2 2 0 0 26 12 9 1 2
rYedKXpb5mo 2015-08-02 10 5 0 1 4 21 6 4 1 1
rYedKXpb5mo 2015-08-03 8 4 1 0 3 36 11 8 1 2
rYedKXpb5mo 2015-08-04 4 0 0 0 0 36 17 12 1 4
rYedKXpb5mo 2015-08-05 4 3 2 0 1 36 14 12 1 1
rYedKXpb5mo 2015-08-06 14 1 0 0 1 53 27 18 1 8
rYedKXpb5mo 2015-08-07 4 0 0 0 0 29 8 6 1 1
rYedKXpb5mo 2015-08-08 6 3 2 0 1 34 9 6 2 1
rYedKXpb5mo 2015-08-09 10 4 2 0 2 35 11 8 2 1
rYedKXpb5mo 2015-08-10 10 5 2 1 2 36 11 8 0 3
rYedKXpb5mo 2015-08-11 5 1 0 0 1 26 8 6 1 1
rYedKXpb5mo 2015-08-12 6 4 1 1 2 20 9 6 1 2
rYedKXpb5mo 2015-08-13 6 3 3 0 0 21 13 9 0 4
rYedKXpb5mo 2015-08-14 7 4 2 1 1 23 7 3 3 1
rYedKXpb5mo 2015-08-15 3 1 1 0 0 32 12 7 1 4
rYedKXpb5mo 2015-08-16 2 2 1 0 1 29 16 8 3 5
rYedKXpb5mo 2015-08-17 3 0 0 0 0 34 12 6 1 5
rYedKXpb5mo 2015-08-18 4 1 0 0 1 40 18 10 1 7
rYedKXpb5mo 2015-08-19 1 1 1 0 0 24 7 5 0 2
rYedKXpb5mo 2015-08-20 4 1 1 0 0 30 11 8 0 3
rYedKXpb5mo 2015-08-21 7 1 0 0 1 36 20 12 3 5
rYedKXpb5mo 2015-08-22 5 2 1 0 1 39 20 11 3 6
rYedKXpb5mo 2015-08-23 4 2 2 0 0 34 17 11 1 5
rYedKXpb5mo 2015-08-24 7 3 2 0 1 19 6 5 0 1
rYedKXpb5mo 2015-08-25 8 2 1 0 1 26 10 8 1 1
rYedKXpb5mo 2015-08-26 2 0 0 0 0 25 6 5 0 1
rYedKXpb5mo 2015-08-27 6 2 1 0 1 25 7 6 0 1
rYedKXpb5mo 2015-08-28 0 0 0 0 0 27 13 10 0 3
rYedKXpb5mo 2015-08-29 7 0 0 0 0 31 17 14 0 3
rYedKXpb5mo 2015-08-30 7 2 1 0 1 31 13 10 1 2
rYedKXpb5mo 2015-08-31 4 1 1 0 0 24 9 7 0 2
rYedKXpb5mo 2015-09-01 2 0 0 0 0 30 10 8 2 0
rYedKXpb5mo 2015-09-02 4 0 0 0 0 21 8 6 1 1
rYedKXpb5mo 2015-09-03 2 2 0 0 2 35 14 10 0 4
rYedKXpb5mo 2015-09-04 21 10 9 0 1 34 12 8 1 3
rYedKXpb5mo 2015-09-05 3 1 1 0 0 43 15 11 1 3
rYedKXpb5mo 2015-09-06 5 2 1 0 1 30 19 13 2 4
rYedKXpb5mo 2015-09-07 7 3 1 0 2 33 18 13 0 5
rYedKXpb5mo 2015-09-08 6 3 3 0 0 27 12 7 0 5
rYedKXpb5mo 2015-09-09 8 3 2 1 0 42 16 12 1 3
rYedKXpb5mo 2015-09-10 5 2 2 0 0 41 13 13 0 0
rYedKXpb5mo 2015-09-11 10 4 4 0 0 22 8 7 0 1
rYedKXpb5mo 2015-09-12 6 4 3 0 1 32 16 10 0 6
rYedKXpb5mo 2015-09-13 7 1 1 0 0 41 20 13 1 6
rYedKXpb5mo 2015-09-14 3 1 0 0 1 32 13 11 1 1
rYedKXpb5mo 2015-09-15 7 1 0 0 1 24 7 6 0 1
rYedKXpb5mo 2015-09-16 12 7 3 0 4 28 11 6 2 3
rYedKXpb5mo 2015-09-17 7 1 1 0 0 25 7 6 1 0
rYedKXpb5mo 2015-09-18 2 0 0 0 0 19 8 5 0 3
rYedKXpb5mo 2015-09-19 5 1 1 0 0 26 11 8 1 2
rYedKXpb5mo 2015-09-20 8 2 1 0 1 23 13 6 2 5
rYedKXpb5mo 2015-09-21 7 3 2 0 1 37 17 12 2 3
rYedKXpb5mo 2015-09-22 6 0 0 0 0 22 10 8 2 0
rYedKXpb5mo 2015-09-23 5 3 2 1 0 32 8 6 1 1
rYedKXpb5mo 2015-09-24 4 3 1 0 2 23 10 5 1 4
rYedKXpb5mo 2015-09-25 11 2 2 0 0 19 7 5 1 1
rYedKXpb5mo 2015-09-26 6 1 1 0 0 17 5 2 2 1
rYedKXpb5mo 2015-09-27 2 0 0 0 0 44 16 13 0 3
rYedKXpb5mo 2015-09-28 6 1 0 0 1 32 16 9 3 4
rYedKXpb5mo 2015-09-29 7 3 1 1 1 24 11 9 0 2
rYedKXpb5mo 2015-09-30 8 2 1 0 1 31 12 7 0 5
rYedKXpb5mo 2015-10-01 9 3 3 0 0 35 11 7 2 2
rYedKXpb5mo 2015-10-02 3 2 1 0 1 34 9 6 0 3
rYedKXpb5mo 2015-10-03 7 1 0 0 1 32 7 3 0 4
rYedKXpb5mo 2015-10-04 5 2 1 0 1 37 14 8 3 3
rYedKXpb5mo 2015-10-05 8 2 1 0 1 25 7 7 0 0
