video date target_total target_isis target_happy target_sad target_angry total isis happy sad angry
t9qSrtCAfOU 2015-06-01 0 0 0 0 0 3 0 0 0 0
t9qSrtCAfOU 2015-06-02 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-06-03 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-06-04 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-06-05 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-06-06 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-06-07 0 0 0 0 0 3 0 0 0 0
t9qSrtCAfOU 2015-06-08 0 0 0 0 0 5 0 0 0 0
t9qSrtCAfOU 2015-06-09 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-06-10 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-06-11 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-06-12 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-06-13 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-06-14 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-06-15 0 0 0 0 0 6 2 0 0 2
t9qSrtCAfOU 2015-06-16 0 0 0 0 0 6 2 1 0 1
t9qSrtCAfOU 2015-06-17 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-06-18 0 0 0 0 0 6 1 0 0 1
t9qSrtCAfOU 2015-06-19 0 0 0 0 0 5 0 0 0 0
t9qSrtCAfOU 2015-06-20 0 0 0 0 0 5 0 0 0 0
t9qSrtCAfOU 2015-06-21 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-06-22 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-06-23 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-06-24 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-06-25 0 0 0 0 0 3 1 0 0 1
t9qSrtCAfOU 2015-06-26 0 0 0 0 0 7 0 0 0 0
t9qSrtCAfOU 2015-06-27 0 0 0 0 0 2 1 0 0 1
t9qSrtCAfOU 2015-06-28 0 0 0 0 0 3 1 0 0 1
t9qSrtCAfOU 2015-06-29 0 0 0 0 0 3 1 1 0 0
t9qSrtCAfOU 2015-06-30 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-07-01 0 0 0 0 0 9 0 0 0 0
t9qSrtCAfOU 2015-07-02 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-07-03 0 0 0 0 0 4 1 1 0 0
t9qSrtCAfOU 2015-07-04 0 0 0 0 0 5 1 0 0 1
t9qSrtCAfOU 2015-07-05 0 0 0 0 0 2 1 1 0 0
t9qSrtCAfOU 2015-07-06 0 0 0 0 0 3 1 1 0 0
t9qSrtCAfOU 2015-07-07 0 0 0 0 0 5 1 0 0 1
t9qSrtCAfOU 2015-07-08 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-07-09 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-07-10 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-07-11 0 0 0 0 0 3 0 0 0 0
t9qSrtCAfOU 2015-07-12 0 0 0 0 0 2 1 0 0 1
t9qSrtCAfOU 2015-07-13 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-07-14 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-07-15 0 0 0 0 0 6 0 0 0 0
t9qSrtCAfOU 2015-07-16 0 0 0 0 0 3 0 0 0 0
t9qSrtCAfOU 2015-07-17 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-07-18 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-07-19 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-07-20 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-07-21 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-07-22 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-07-23 0 0 0 0 0 3 0 0 0 0
t9qSrtCAfOU 2015-07-24 1 0 0 0 0 5 0 0 0 0
t9qSrtCAfOU 2015-07-25 0 0 0 0 0 4 1 1 0 0
t9qSrtCAfOU 2015-07-26 0 0 0 0 0 6 0 0 0 0
t9qSrtCAfOU 2015-07-27 0 0 0 0 0 4 1 1 0 0
t9qSrtCAfOU 2015-07-28 0 0 0 0 0 14 2 0 0 2
t9qSrtCAfOU 2015-07-29 0 0 0 0 0 9 1 1 0 0
t9qSrtCAfOU 2015-07-30 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-07-31 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-08-01 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-08-02 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-08-03 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-08-04 0 0 0 0 0 2 1 1 0 0
t9qSrtCAfOU 2015-08-05 0 0 0 0 0 3 0 0 0 0
t9qSrtCAfOU 2015-08-06 0 0 0 0 0 2 1 0 0 1
t9qSrtCAfOU 2015-08-07 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-08-08 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-08-09 0 0 0 0 0 5 1 1 0 0
t9qSrtCAfOU 2015-08-10 0 0 0 0 0 7 1 0 0 1
t9qSrtCAfOU 2015-08-11 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-08-12 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-08-13 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-08-14 0 0 0 0 0 3 1 0 0 1
t9qSrtCAfOU 2015-08-15 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-08-16 0 0 0 0 0 1 1 0 0 1
t9qSrtCAfOU 2015-08-17 0 0 0 0 0 3 1 0 0 1
t9qSrtCAfOU 2015-08-18 0 0 0 0 0 0 0 0 0 0
t9qSrtCAfOU 2015-08-19 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-08-20 0 0 0 0 0 3 0 0 0 0
t9qSrtCAfOU 2015-08-21 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-08-22 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-08-23 0 0 0 0 0 8 1 1 0 0
t9qSrtCAfOU 2015-08-24 0 0 0 0 0 7 4 0 0 4
t9qSrtCAfOU 2015-08-25 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-08-26 0 0 0 0 0 3 1 1 0 0
t9qSrtCAfOU 2015-08-27 0 0 0 0 0 1 0 0 0 0
t9qSrtCAfOU 2015-08-28 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-08-29 0 0 0 0 0 4 0 0 0 0
t9qSrtCAfOU 2015-08-30 0 0 0 0 0 2 1 0 0 1
t9qSrtCAfOU 2015-08-31 0 0 0 0 0 2 0 0 0 0
t9qSrtCAfOU 2015-09-01 0 0 0 0 0 4 0 0 0 0
